Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
John Adams,"David McCullough, David McCullough","History, Biography, Nonfiction, American History, Presidents, Politics, Historical",4.08,"375,634 ratings","7,691 reviews","The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.

In this powerful, epic biography, David McCullough unfolds the adventurous life-journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot -- ""the colossus of independence,"" as Thomas Jefferson called him -- who spared nothing in his zeal for the American Revolution; who rose to become the second President of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as ""out of his senses""; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history.

Like his masterly, Pulitzer Prize-winning biography Truman, David McCullough's John Adams has the sweep and vitality of a great novel. It is both a riveting portrait of an abundantly human man and a vivid evocation of his time, much of it drawn from an outstanding collection of Adams family letters and diaries. In particular, the more than one thousand surviving letters between John and Abigail Adams, nearly half of which have never been published, provide extraordinary access to their private lives and make it possible to know John Adams as no other major American of his founding era.

As he has with stunning effect in his previous books, McCullough tells the story from within -- from the point of view of the amazing eighteenth century and of those who, caught up in events, had no sure way of knowing how things would turn out. George Washington, Benjamin Franklin, John Jay, the British spy Edward Bancroft, Madame Lafayette and Jefferson's Paris ""interest"" Maria Cosway, Alexander Hamilton, James Madison, the scandalmonger James Callender, Sally Hemings, John Marshall, Talleyrand, and Aaron Burr all figure in this panoramic chronicle, as does, importantly, John Quincy Adams, the adored son whom Adams would live to see become President.

Crucial to the story, as it was to history, is the relationship between Adams and Jefferson, born opposites -- one a Massachusetts farmer's son, the other a Virginia aristocrat and slaveholder, one short and stout, the other tall and spare. Adams embraced conflict; Jefferson avoided it. Adams had great humor; Jefferson, very little. But they were alike in their devotion to their country.

At first they were ardent co-revolutionaries, then fellow diplomats and close friends. With the advent of the two political parties, they became archrivals, even enemies, in the intense struggle for the presidency in 1800, perhaps the most vicious election in history. Then, amazingly, they became friends again, and ultimately, incredibly, they died on the same day -- their day of days -- July 4, in the year 1826.

Much about John Adams's life will come as a surprise to many readers. His courageous voyage on the frigate Boston in the winter of 1778 and his later trek over the Pyrenees are exploits that few would have dared and that few readers will ever forget.

It is a life encompassing a huge arc -- Adams lived longer than any president. The story ranges from the Boston Massacre to Philadelphia in 1776 to the Versailles of Louis XVI, from Spain to Amsterdam, from the Court of St. James's, where Adams was the first American to stand before King George III as a representative of the new nation, to the raw, half-finished Capital by the Potomac, where Adams was the first President to occupy the White House.

This is history on a grand scale -- a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived.",https://www.goodreads.com/book/show/2203.John_Adams
The Rise and Fall of the Third Reich: A History of Nazi Germany,"William L. Shirer, William L. Shirer","History, Nonfiction, War, World War II, Politics, Germany, Historical, Audiobook, European History, World History",4.22,"146,617 ratings","4,718 reviews","Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.
No other powerful empire ever bequeathed such mountains of evidence about its birth and destruction as the Third Reich. When the bitter war was over, and before the Nazis could destroy their files, the Allied demand for unconditional surrender produced an almost hour-by-hour record of the nightmare empire built by Adolph Hitler. This record included the testimony of Nazi leaders and of concentration camp inmates, the diaries of officials, transcripts of secret conferences, army orders, private letters—all the vast paperwork behind Hitler's drive to conquer the world.",https://www.goodreads.com/book/show/767171.The_Rise_and_Fall_of_the_Third_Reich
1776,"David McCullough, David McCullough","History, Nonfiction, American History, Historical, American Revolution, War, Audiobook, Politics, American Revolutionary War, Military Fiction",4.10,"245,969 ratings","9,208 reviews","In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.Based on extensive research in both American and British archives, 1776 is a powerful drama written with extraordinary narrative vitality. It is the story of Americans in the ranks, men of every shape, size, and color, farmers, schoolteachers, shoemakers, no-accounts, and mere boys turned soldiers. And it is the story of the King's men, the British commander, William Howe, an his highly disciplined redcoats who looked on their rebel foes with contempt and fought with a valor too little known.At the center of the drama, with Washington, are two young American patriots, who, at first, knew no more of war than what they had read in books - Nathaniel Green, a Quaker who was made a general at thirty-three, and Henry Knox, a twenty-five-year-old bookseller who had the preposterous idea of hauling the guns of Fort Ticonderoga overland to Boston in the dead of Winter.But it is the American commander-in-chief who stands foremost - Washington, who had never before led an army in battle. Written as a companion work to his celebrated biography of John Adams, David McCullough's 1776 is another landmark in the literature of American history.",https://www.goodreads.com/book/show/1067.1776
Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Doris Kearns Goodwin","History, Nonfiction, Biography, Politics, American History, Civil War, Presidents, Leadership, Historical, Audiobook",4.28,"198,314 ratings","8,915 reviews","Winner of the Lincoln Prize

Acclaimed historian Doris Kearns Goodwin illuminates Lincoln's political genius in this highly original work, as the one-term congressman and prairie lawyer rises from obscurity to prevail over three gifted rivals of national reputation to become president.

On May 18, 1860, William H. Seward, Salmon P. Chase, Edward Bates, and Abraham Lincoln waited in their hometowns for the results from the Republican National Convention in Chicago. When Lincoln emerged as the victor, his rivals were dismayed and angry.

Throughout the turbulent 1850s, each had energetically sought the presidency as the conflict over slavery was leading inexorably to secession and civil war. That Lincoln succeeded, Goodwin demonstrates, was the result of a character that had been forged by experiences that raised him above his more privileged and accomplished rivals. He won because he possessed an extraordinary ability to put himself in the place of other men, to experience what they were feeling, to understand their motives and desires.

It was this capacity that enabled Lincoln as president to bring his disgruntled opponents together, create the most unusual cabinet in history, and marshal their talents to the task of preserving the Union and winning the war.

We view the long, horrifying struggle from the vantage of the White House as Lincoln copes with incompetent generals, hostile congressmen, and his raucous cabinet. He overcomes these obstacles by winning the respect of his former competitors, and in the case of Seward, finds a loyal and crucial friend to see him through.

This brilliant multiple biography is centered on Lincoln's mastery of men and how it shaped the most significant presidency in the nation's history.",https://www.goodreads.com/book/show/2199.Team_of_Rivals
The Guns of August,"Barbara W. Tuchman, Barbara W. Tuchman","History, Nonfiction, War, World War I, Military Fiction, Military History, Politics, Audiobook, Historical, European History",4.18,"83,727 ratings","3,844 reviews","The Proud Tower, the Pulitzer Prize–winning The Guns of August, and The Zimmerman Telegram comprise Barbara W. Tuchman’s classic histories of the First World War era

In this landmark, Pulitzer Prize–winning account, renowned historian Barbara W. Tuchman re-creates the first month of World War I: thirty days in the summer of 1914 that determined the course of the conflict, the century, and ultimately our present world. Beginning with the funeral of Edward VII, Tuchman traces each step that led to the inevitable clash. And inevitable it was, with all sides plotting their war for a generation. Dizzyingly comprehensive and spectacularly portrayed with her famous talent for evoking the characters of the war’s key players, Tuchman’s magnum opus is a classic for the ages.",https://www.goodreads.com/book/show/40779082-the-guns-of-august
"Guns, Germs, and Steel: The Fates of Human Societies","Jared Diamond, Jared Diamond","History, Nonfiction, Science, Anthropology, Sociology, Politics, Audiobook, Economics, Historical, World History",4.04,"451,528 ratings","15,708 reviews","""Diamond has written a book of remarkable scope ... one of the most important and readable works on the human past published in recent years.""

Winner of the Pulitzer Prize and a national bestseller: the global account of the rise of civilization that is also a stunning refutation of ideas of human development based on race.

In this ""artful, informative, and delightful"" (William H. McNeill, New York Review of Books) book, Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world. Societies that had a head start in food production advanced beyond the hunter-gatherer stage, and then developed writing, technology, government, and organized religion—as well as nasty germs and potent weapons of war—and adventured on sea and land to conquer and decimate preliterate cultures. A major advance in our understanding of human societies, chronicles the way that the modern world came to be and stunningly dismantles racially based theories of human history.

Winner of the Pulitzer Prize, the Phi Beta Kappa Award in Science, the Rhone-Poulenc Prize, and the Commonwealth Club of California's Gold Medal",https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, Susan Massotty, Anne Frank","Classics, Nonfiction, History, Biography, Memoir, Historical, Holocaust",4.20,"4,132,324 ratings","47,832 reviews","Discovered in the attic where she spent the final years of her life, Anne Frank’s Diary has become a timeless classic; a powerful reminder of the horrors of war and a moving testament to the resilience of the human spirit.

In 1942, as the Nazis occupied Holland, thirteen-year-old Anne Frank and her Jewish family fled their home in Amsterdam and went into hiding. For the next two years, until they were betrayed to the Gestapo, the Franks and another family lived in the cramped “Secret Annexe” of an old office building. Cut off from the outside world, they endured hunger, boredom, the strain of close quarters, and the constant fear of discovery and death.

Through it all, Anne documented her experiences in a diary filled with vivid observations. At times thoughtful, poignant, and even unexpectedly funny, her writing offers a remarkable window into the strength and vulnerability of the human spirit. It’s both a compelling self-portrait of a bright, spirited young woman and a heartbreaking glimpse of a life that should have been far longer.",https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
"Unbroken: A World War II Story of Survival, Resilience and Redemption","Laura Hillenbrand, Laura Hillenbrand","Nonfiction, History, Biography, Book Club, World War II, War, Historical, Audiobook, Memoir, Biography Memoir",4.39,"996,748 ratings","52,936 reviews","On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane's bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.

The lieutenant’s name was Louis Zamperini. In boyhood, he'd been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown.

Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will.",https://www.goodreads.com/book/show/8664353-unbroken
Bury My Heart at Wounded Knee: An Indian History of the American West,"Dee Brown, Dee Brown","History, Nonfiction, Native American, American History, Classics, Historical, Indigenous, Politics, Audiobook, War",4.26,"101,053 ratings","6,135 reviews","Now a special 30th-anniversary edition in both hardcover and paperback, the classic bestselling history The New York Times called ""Original, remarkable, and finally heartbreaking...Impossible to put down.""

Bury My Heart at Wounded Knee is Dee Brown's eloquent, fully documented account of the systematic destruction of the American Indian during the second half of the nineteenth century. A national bestseller in hardcover for more than a year after its initial publication, it has sold almost four million copies and has been translated into seventeen languages. For this elegant thirtieth-anniversary edition—published in both hardcover and paperback—Brown has contributed an incisive new preface.

Using council records, autobiographies, and firsthand descriptions, Brown allows the great chiefs and warriors of the Dakota, Ute, Sioux, Cheyenne, and other tribes to tell us in their own words of the battles, massacres, and broken treaties that finally left them demoralized and defeated. A unique and disturbing narrative told with force and clarity, changed forever our vision of how the West was really won.",https://www.goodreads.com/book/show/76401.Bury_My_Heart_at_Wounded_Knee
The Devil in the White City,"Erik Larson, Tony Goldwyn, Erik Larson","Nonfiction, History, True Crime, Book Club, Crime, Historical, Mystery, Audiobook, American History, Biography",4.00,"749,702 ratings","44,318 reviews","Murder, Magic, and Madness at the Fair That Changed America

Erik Larson's gifts as a storyteller are magnificently displayed in this rich narrative of the master builder, the killer, and the great fair that obsessed them both.

Two men, each handsome and unusually adept at his chosen work, embodied an element of the great dynamic that characterized America's rush toward the twentieth century. The architect was Daniel Hudson Burnham, the fair's brilliant director of works and the builder of many of the country's most important structures, including the Flatiron Building in New York and Union Station in Washington, D.C. The murderer was Henry H. Holmes, a young doctor who, in a malign parody of the White City, built his ""World's Fair Hotel"" just west of the fairgrounds—a torture palace complete with dissection table, gas chamber, and 3,000-degree crematorium. Burnham overcame tremendous obstacles and tragedies as he organized the talents of Frederick Law Olmsted, Charles McKim, Louis Sullivan, and others to transform swampy Jackson Park into the White City, while Holmes used the attraction of the great fair and his own satanic charms to lure scores of young women to their deaths. What makes the story all the more chilling is that Holmes really lived, walking the grounds of that dream city by the lake.

The Devil in the White City draws the reader into a time of magic and majesty, made all the more appealing by a supporting cast of real-life characters, including Buffalo Bill, Theodore Dreiser, Susan B. Anthony, Thomas Edison, Archduke Francis Ferdinand, and others. In this book the smoke, romance, and mystery of the Gilded Age come alive as never before.",https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City
