Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Taking Shots,"Toni Aleo, Toni Aleo","Romance, Sports, Sports Romance, Contemporary Romance, Contemporary, Hockey, Hockey Romance",3.90,"23,434 ratings","1,751 reviews","In Toni Aleo’s exhilarating debut, the first in a series featuring the hockey hunks of the Nashville Assassins, a reformed bad boy helps a charming, willful woman face off against the demons of her past.

No matter how hard she tries, Eleanor Fisher never thinks she’s good enough, from her job to her weight to her love life. After enduring years of abuse at the hands of an ex-boyfriend, Elli has been drifting through life in a daze. Until, that is, she meets Shea Adler on a promotional shoot for the NHL’s Nashville Assassins. Before Elli knows what’s happening, the gorgeous Shea breaks the ice and shatters her world.

A brilliant athlete inside the rink, Shea Adler is tired of the life he’s living outside of it: the girls, the money, the drinking. But everything changes when he meets Elli. After laying eyes on this feisty, witty, beautiful woman, he feels like he’s just taken the hardest hit of his life. No matter how skeptical she is, Shea knows they are meant to be together—if only he can convince Elli to put her insecurities aside throw her insecurities out the window before she misses out on a shot at love.

Includes a special message from the editor, as well as excerpts from these Loveswept titles: Trying to Score, Empty Net, and Along Came Trouble.",https://www.goodreads.com/book/show/12805465-taking-shots
Falling for the Backup,"Toni Aleo, Toni Aleo","Sports, Romance, Sports Romance, Hockey, Contemporary Romance, Contemporary, Novella, Hockey Romance, Audiobook, Fiction",4.10,"5,958 ratings",369 reviews,"Toni Aleo’s sexy new eBook original novella featuring the Nashville Assassins will have you believing in the power of love at first sight . . . and second sight . . . and third.
 
After serving as a dutiful bridesmaid in the wedding from hell, Aynslee Shaw just wants to slink home to Nashville and forget the whole trip. That is until the hottest guy she’s ever seen is seated next to her on the flight and charms her with his easy laugh and killer smile. But just when she thinks things are getting good, he vanishes, leaving Aynslee wondering, was that guy the one? And did she just let him slip through her fingers?
 
Former superstar goalie Jordan Ryan is back on the ice—finally. After a crippling knee injury that had him wondering if he’d ever play pro hockey again, he’s got his full attention on rebuilding his career. So a pretty—okay, beautiful—girl on a plane shouldn’t be a distraction. But Jordan is very, very distracted. And when Aynslee crosses his path again, he’s not sure any job in the world is worth missing his second chance with a woman like her.
 


“Aleo melts the ice and hits it into the net with her Assassins series.”—Award-winning author Jami Davenport
 
“ is really the whole package. You get romance, humor, steamy sex, drama, and then it all wraps up with a great conclusion. I am amazed that this is Toni’s first book. She has come out in a huge way. I can’t wait to read more from her. Don’t hesitate for a moment to grab this book.”—Guilty Pleasures Book Reviews
 
“A little steamy, a little heartbreaking, and a whole lot of fanning yourself are in order this time around, readers. Are your cheeks feeling a little pink yet? Get used to the feeling.”—Dreaming in the Pages, on
 
“ is an honest, heartwarming, endearing story. . . . Toni Aleo doesn’t just write a story. She gives you the ability to experience the journey of her characters right along with them. Her stories are enveloped with passion, emotion, humor, love; and let me tell you, that girl knows how to write a sex scene that just makes you sweat!”—Guilty Pleasures Book Review
 
“Sexy and riveting . . . the perfect combination of love and lust.”—bestselling author Heidi McLaughlin, on",https://www.goodreads.com/book/show/17413096-falling-for-the-backup
Empty Net,"Toni Aleo, Toni Aleo","Sports, Romance, Sports Romance, Hockey, Contemporary Romance, Contemporary, Hockey Romance, Audiobook, Adult, New Adult",4.22,"11,671 ratings",768 reviews,"Audrey Parker is up against the boards. She's stuck in a job she hates and pining for a total jerk. Meanwhile, her sister Fallon is moving out and getting married to hockey star Lucas Brooks. Where is Audrey's Prince Charming? Nothing she does has ever seemed to be good enough for any of the men in her life. Audrey's about to hit rock bottom . . . until she wakes up next to Tate Odder.

The thrill of moving up from the minors to the Nashville Assassins was a welcome distraction. But not even becoming the first rookie goalie to tally three shutouts in the Stanley Cup finals alleviates the pain. With the loss of his parents and sister weighing as heavily on his soul as ever, Tate Odder can't keep pretending he's okay. That's when he meets smart, sexy Audrey. Her gentle warmth and quirky sense of humor make him feel whole for the first time in too long. But to stay that way forever, Tate must find a way to accept his past and learn to live for love.",https://www.goodreads.com/book/show/14761088-empty-net
Trying to Score,"Toni Aleo, Toni Aleo","Sports, Romance, Sports Romance, Contemporary Romance, Hockey, Contemporary, Second Chance, Hockey Romance, Second Chance Romance, Adult",4.03,"13,960 ratings",895 reviews,"In a captivating novel of second chances and healing hearts, the newest member of the Nashville Assassins pulls a power play to make things right with the one that got away.
 
Fallon Parker’s dream has always been to turn her family’s wine company into a runaway success and eventually start a cellar of her own. Since graduating from college, she has worked relentlessly to make that dream a reality, especially after taking a chance on love—and losing. By the time Fallon becomes an official sponsor of the Nashville Assassins, she feels like all her hard work is finally paying off. And then the man who broke her heart skates back into her life.
 
On the ice, Lucas Brooks is the NHL’s leading scorer—at least when he’s not in the box. Off the ice, he’s a mess, with all his anger and misery bottled up inside. He threw away the most important person in his life and has regretted it ever since. But when Lucas returns to Nashville in a trade, he’s determined to convince Fallon that he’s a changed man. The attraction is still there. The tension is electrifying. But the odds are stacked against them—especially after Lucas finds out that Fallon has been keeping a devastating secret.",https://www.goodreads.com/book/show/13349614-trying-to-score
Blue Lines,"Toni Aleo, Toni Aleo","Sports, Romance, Sports Romance, Hockey, Contemporary Romance, Contemporary, Hockey Romance, Adult, Audiobook, Marriage Of Convenience",4.07,"10,359 ratings",827 reviews,"Opposites do more than just attract in Toni Aleo’s latest Nashville Assassins novel about a very bad boy and the good girl he can’t resist.

The instant Piper Allen sees Erik Titov, she wants him—wants his rock-hard body, sure, but the strength and mystery that lies behind that superstar hockey jock demeanor, too. So when he sidles up to her at a bar and slinks his arm around her waist, she’s lost. What follows is the wildest night of her life . . . followed by inevitable heartbreak the next morning. And then, a few weeks later, a very big surprise: two blue lines on a pregnancy test.

Only a check to the head could make Erik fall for a nice girl like Piper. But since their crazy-sexy night together, he’s been trying to forget about her alluring body by falling into bed with every woman in Nashville, and it’s not working. So when Piper shows up at his house with a baby-bomb to drop, it doesn’t take much for Erik to suggest the nuclear option: marriage. While it’s supposed to be all for show, the second they say “I do,” the ice between them starts to melt into sizzling steam.

Includes a special message from the editor, as well as excerpts from these Loveswept titles: Taking Shots, Trying to Score, and Empty Net.",https://www.goodreads.com/book/show/16061112-blue-lines
Gold Medal Threat,"Michael Balkind, Michael Balkind","Sports, Mystery",4.61,28 ratings,12 reviews,"When Casey and Johnny overhear assassins discussing ""taking out"" an Olympic gymnast just prior to the Olympic Opening Ceremonies, they team up with Chelsea and Samantha, and attempt foil the crime. Suspense, action and lots of fun combine as the team puts their lives in harms way to identify and stop the assassins, before it s too late.",https://www.goodreads.com/book/show/17296266-gold-medal-threat
Boarded by Love,"Toni Aleo, Toni Aleo","Sports, Romance, Sports Romance, New Adult, College, Hockey, Contemporary, Contemporary Romance, College Romance, Hockey Romance",4.04,"9,452 ratings",702 reviews,"Jude Sinclair here, hockey player for the Bellevue Bullies and lover of all ladies. Hockey’s in my blood, and not to sound full of myself, but

I’m good at it... really good. The draft is within my reach — it’s mine to take — but that’s not the only reason people know my name. They know me because of my way with women. They know the score, and I aim to please. I just tend to stay away from repeat performances. In other words, I don’t do relationships beyond my family and friends. I’m happy with life. However, I should warn you that my story and how I see it playing out is about to change due to a certain redhead on campus.

She’s beautiful. Stunning. Breathtaking.

She’s my game changer.

***

He’s trouble from the moment I see him. I don’t know what I’m thinking, but from the moment I meet his gaze, I’m his. It’s a scary feeling.

I’ve never trusted anyone outside my aunt and uncle — and even that took months. I didn’t have it easy growing up. My mom was usually strung out, and she didn’t give me a second thought. Drugs and the men who paid her were more important to her. It was horrible, but I’m stronger today. Because of my past, security is what I need most. Money assures me that I can take care of myself today, tomorrow, and next month. I don’t want to ever be hungry or go without again, so I work hard for every penny.

Oh, by the way, I’m . I’m a hard-studying sophomore at the University of Bellevue, dancer for the school dance team, and a burlesque dancer at a club, but that’s my secret.

You may think you know how our story ends, but you have no clue. It’s not easy falling in love… or living happily ever after. At first it may seem so, but when is anything worth having ever won without a fight?

Especially when you’re boarded by love.",https://www.goodreads.com/book/show/17448422-boarded-by-love
Friday Night Lights,"H.G. Bissinger, H.G. Bissinger","Sports, Nonfiction, Football, History, Biography, Book Club, Journalism, Audiobook, Adult, High School",4.14,"65,882 ratings","3,375 reviews","Return once again to the enduring account of life in the Mojo lane, to the Permian Panthers of Odessa -- the winningest high school football team in Texas history. Odessa is not known to be a town big on dreams, but the Panthers help keep the hopes and dreams of this small, dusty town going. Socially and racially divided, its fragile economy follows the treacherous boom-bust path of the oil business.In bad times, the unemployment rate barrels out of control; in good times, its murder rate skyrockets. But every Friday night from September to December, when the Permian High School Panthers play football, this West Texas town becomes a place where dreams can come true. With frankness and compassion, Bissinger chronicles one of the Panthers' dramatic seasons and shows how single-minded devotion to the team shapes the community and inspires-and sometimes shatters-the teenagers who wear the Panthers' uniforms. Includes Reader's Group Guide inside. Now a major motion picture starring Billy Bob Thorton.",https://www.goodreads.com/book/show/85431.Friday_Night_Lights
Breaking Away,"Toni Aleo, Toni Aleo","Sports, Romance, Sports Romance, Hockey, Contemporary Romance, Contemporary, Hockey Romance, New Adult, Audiobook, Adult",4.21,"8,146 ratings",524 reviews,"BREAKING AWAY is a story of loss, healing, and love… where unexpected turns and heartache lead to passion.

To Nashville Assassins’ leading scoring center Phillip Anderson, playing hockey has always been easy… as natural as breathing. His life is no different. That’s until his world is turned upside down by the death of his sister. While mourning his loss, Phillip has to find a way to make his very angry sixteen-year-old niece, Claire, happy. Now, as her guardian, he discovers the only thing that seems to heal her lonely heart is dance class. But what he didn’t count on was the attraction he’d feel towards her drop-dead sexy dance teacher.

For Reese Allen, dancing has always been part of her soul. After having her heart broken in New York, she comes home with the determination to make her dance studio one of the best in Tennessee and succeeds. When she sees Claire dance for the first time, she knows the girl is bound for greatness and takes the troubled teen under her wing. Using dance as therapy, she suddenly finds herself bound to the young woman… and her hot-as-sin uncle.

However, Phillip and Reese are happy in their single lives. It’s simple. They do what they want, who they want, and how they want, but from the moment they meet, the attraction is undeniable. Soon, they are more than willing to spend just one night tangled in the sheets. But, one night turns into two, and two turns into three, until they find themselves in a repeated dance of “One Last Time” that has the potential to be something more… if only Reese and Claire allow it.

Can Phillip find a way to thaw the hearts of both the women in his life, or will he be forever trying to break them away from their pasts?",https://www.goodreads.com/book/show/17448419-breaking-away
"Against the Grain: A Coach's Wisdom on Character, Faith, Family, and Love","Bill Courtney, Michael Arkush, Bill Courtney","Sports, Leadership, Nonfiction",4.19,113 ratings,15 reviews,"Bill Courtney is a familiar name to those who saw him in Undefeated, the Oscar-winning movie about the high school football team he coached in a downtrodden section of North Memphis. Now, in his first book, Against the Grain Courtney describes the key principles— including service, civility, leadership, character, commitment, and forgiveness—that have helped young people and adults to live better and more fulfilled lives.

Courtney has also passed along these values to his 120 employees at the lumber company he built from scratch. A former drug addict became a line manager and loving family man; an out-of-control cornerback is now a cadet at West Point; a star running back has discovered he can show his emotions and still be strong. Courtney, Esquire magazine’s Coach of the Year in 2012, shares these and other compelling stories to illustrate how readers can enrich themselves their families, their businesses, and their communities.

Courtney goes against the grain of today’s mefirst culture, while explaining why these time-tested principles are needed now more than ever. He shows that winning isn’t just about the score at the end of the game, or the profit margin. Ultimately, it’s about the impact you make on your fellow human beings and the legacy you leave behind.",https://www.goodreads.com/book/show/18210758-against-the-grain
