Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Charlotte’s Web,"E.B. White, Garth Williams, Rosemary Wells, E.B. White","Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals",4.21,"2,020,467 ratings","26,616 reviews","This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!

Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.

E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams, the acclaimed illustrator of E. B. White's and Laura Ingalls Wilder's Little House series, among many other books.",https://www.goodreads.com/book/show/24178.Charlotte_s_Web
The Secret Garden,"Frances Hodgson Burnett, Frances Hodgson Burnett","Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook, Fantasy, Historical, Literature",4.17,"1,280,073 ratings","33,719 reviews","In a house full of sadness and secrets, can young, orphaned Mary find happiness?

Mary Lennox, a spoiled, ill-tempered, and unhealthy child, comes to live with her reclusive uncle in Misselthwaite Manor on England’s Yorkshire moors after the death of her parents. There she meets a hearty housekeeper and her spirited brother, a dour gardener, a cheerful robin, and her wilful, hysterical, and sickly cousin, Master Colin, whose wails she hears echoing through the house at night.

With the help of the robin, Mary finds the door to a secret garden, neglected and hidden for years. When she decides to restore the garden in secret, the story becomes a charming journey into the places of the heart, where faith restores health, flowers refresh the spirit, and the magic of the garden, coming to life anew, brings health to Colin and happiness to Mary.",https://www.goodreads.com/book/show/2998.The_Secret_Garden
"The Lion, the Witch and the Wardrobe","C.S. Lewis, Tormod Haugen, Per Svein Paulsen, C.S. Lewis","Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Adventure, Christian, Audiobook, Magic",4.24,"3,105,755 ratings","40,159 reviews","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.

Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Anne of Green Gables,"L.M. Montgomery, Jennifer Lee Carrell, L.M. Montgomery","Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook, Historical, Canada, Coming Of Age",4.33,"1,097,283 ratings","46,838 reviews","This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up, Anne of Green Gables is also a wonderful portrait of a time, a place, a family… and, most of all, love.

WITH AN AFTERWORD BY JENNIFER LEE CARELL",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Little Women,"Louisa May Alcott, Regina Barreca, Grzegorz Komerski, Louisa May Alcott","Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature",4.17,"2,424,517 ratings","63,095 reviews","This is an alternate cover edition of ISBN 9780451529305.

Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.
It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.",https://www.goodreads.com/book/show/1934.Little_Women
Matilda,"Roald Dahl, Quentin Blake, Roald Dahl","Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Audiobook, Humor, Magic, School",4.33,"1,092,981 ratings","26,174 reviews","“The Trunchbull” is no match for Matilda!

Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world...

For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will, and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge.

was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of and many more brilliant stories. He remains the World's No. 1 Storyteller.",https://www.goodreads.com/book/show/39988.Matilda
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake, Roald Dahl","Fiction, Fantasy, Classics, Childrens, Young Adult, Middle Grade, Humor, Adventure, Audiobook, Novels",4.17,"922,134 ratings","18,655 reviews","Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!
(back cover)",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
Little House in the Big Woods,"Laura Ingalls Wilder, Garth Williams, Laura Ingalls Wilder","Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade, Audiobook, Juvenile, Family",4.21,"283,881 ratings","8,945 reviews","Based on the real-life adventures of Laura Ingalls Wilder, Little House in the Big Woods is the first book in the award-winning Little House series, which has captivated generations of readers. This edition features the classic black-and-white artwork from Garth Williams.

Little House in the Big Woods takes place in 1871 and introduces us to four-year-old Laura, who lives in a log cabin on the edge of the Big Woods of Wisconsin. She shares the cabin with her Pa, her Ma, her sisters Mary and Carrie, and their lovable dog, Jack.

Pioneer life isn’t easy for the Ingalls family, since they must grow or catch all their own food as they get ready for the cold winter. But they make the best of every tough situation. They celebrate Christmas with homemade toys and treats, do their spring planting, bring in the harvest in the fall, and make their first trip into town. And every night, safe and warm in their little house, the sound of Pa’s fiddle lulls Laura and her sisters into sleep.

The nine books in the timeless Little House series tell the story of Laura’s real childhood as an American pioneer, and are cherished by readers of all generations. They offer a unique glimpse into life on the American frontier, and tell the heartwarming, unforgettable story of a loving family.",https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods
Where the Wild Things Are,"Maurice Sendak, Maurice Sendak","Childrens, Picture Books, Fiction, Classics, Fantasy, Adventure, Young Adult, Animals, Kids, Monsters",4.25,"1,052,614 ratings","14,677 reviews","Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
A Wrinkle in Time,"Madeleine L'Engle, Madeleine L'Engle","Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade, Audiobook, Time Travel, Adventure",3.97,"1,272,300 ratings","42,602 reviews","Winner of the 1963 Newbery Medal

It was a dark and stormy night.

Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.

is the first book in Madeleine L'Engle's classic Time Quintet.",https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time
