Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Around the World in Eighty Days,"Jules Verne, Brian W. Aldiss, Michael Glencross, Jules Verne","Classics, Fiction, Adventure, Science Fiction, France, Travel, Fantasy",3.95,"279,059 ratings","13,147 reviews","One night in the reform club, Phileas Fogg bets his companions that he can travel across the globe in just eighty days. Breaking the well-established routine of his daily life, he immediately sets off for Dover with his astonished valet Passepartout. Passing through exotic lands and dangerous locations, they seize whatever transportation is at hand—whether train or elephant—overcoming set-backs and always racing against the clock.",https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days
The Three Billy Goats Gruff,"Ellen Rudin, Peter Christen Asbjørnsen, Lilian Obligado, Ellen Rudin","Childrens, Picture Books, Fiction, Animals, Classics, Fairy Tales, Fantasy, Poetry, Adventure",4.10,"1,405 ratings",34 reviews,Three clever billy goats outwit a big ugly troll that lives under the bridge they must cross on their way to eat the sweet grass.,https://www.goodreads.com/book/show/386040.The_Three_Billy_Goats_Gruff
Ozma of Oz,"L. Frank Baum, L. Frank Baum","Fantasy, Classics, Fiction, Childrens, Young Adult, Adventure, Middle Grade, Audiobook, Juvenile, Magic",3.95,"26,867 ratings","1,444 reviews","Readers of all ages will welcome the chance to be reunited with Dorothy Gale and such beloved characters as the Scarecrow, Tin Woodman, and Cowardly Lion, as well as to meet new favorites such as the Hungry Tiger, whose appetite is never satisfied; Princess Langwidere, who has thirty heads; Billina, a talking chicken; and Tiktok, a mechanical man.

Blown overboard while sailing with her uncle, Dorothy finds herself in the fairy realm of Ev. She sets out with her friends to rescue the Queen of Ev and her ten children, who have been imprisoned by the cruel Nome King. But even Ozma, the wise Ruler of Oz, is no match for the clever king, and it's up to Dorothy to save everyone from terrible danger. But will the Nome King's enchantments be too much even for the plucky little girl from Kansas?",https://www.goodreads.com/book/show/60177.Ozma_of_Oz
Days with Frog and Toad,"Arnold Lobel, Arnold Lobel","Childrens, Picture Books, Fiction, Classics, Animals, Friendship, Fantasy, Chapter Books, Juvenile, Humor",4.30,"24,337 ratings",547 reviews,"Frog and Toad enjoy spending their days together. They fly kites, celebrate Toad's birthday, and share the shivers when Frog tells a scary story. Most of all, they have fun together—every day of the year.

Days with Frog and Toad is a Level Two I Can Read book, geared for kids who read on their own but still need a little help.  Whether shared at home or in a classroom, the engaging stories, longer sentences, and language play of Level Two books are proven to help kids take their next steps toward reading success.

The classic Frog and Toad stories by Arnold Lobel have won numerous awards and honors, including a Newbery Honor (), a Caldecott Honor (), ALA Notable Children’s Book, Fanfare Honor List Best Children’s Book, and Library of Congress Children’s Book.",https://www.goodreads.com/book/show/94804.Days_with_Frog_and_Toad
A Girl of the Limberlost,"Gene Stratton-Porter, Gene Stratton-Porter","Classics, Fiction, Young Adult, Historical Fiction, Romance, Childrens, Book Club, Historical, Nature, Middle Grade",4.17,"22,542 ratings","2,059 reviews","Set amid Indiana's vast Limberlost Swamp, this treasured children's classic mixes astute observations on nature with the struggles of growing up in the early 20th century. Harassed by her mother and scorned by her peers, Elnora Comstock finds solace in natural beauty along with friendship, independence, and romance.

--

Synopsis from Huffington Post: Cornfields, soy fields, alfalfa fields ― Indiana has long been seen as an agricultural plain. But to make it a lucrative farming state, much of the land had to be deforested, leaving behind devastated habitats. The Limberlost, a wetland in northern Indiana, was mostly destroyed by drainage, logging and oil production. Gene Stratton-Porter, an early 20th-century naturalist and novelist, captured the fading beauty of the swamp in books like A Girl of the Limberlost, a novel about a smart, ambitious girl who lives in the dwindling wetland with her mother and pays for school by collecting local moth specimens to sell to naturalists. The book isn’t exactly an environmentalist tract, but it makes the case nonetheless: It celebrates the beauty and richness of the swampland, while showing how easily economic forces push landowners to strip it away.",https://www.goodreads.com/book/show/17567.A_Girl_of_the_Limberlost
Lord of the Flies,"William Golding, William Golding","Classics, Fiction, Young Adult, School, Dystopia, Literature, Read For School, Novels, High School, Adventure",3.70,"3,158,235 ratings","65,715 reviews","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"J.R.R. Tolkien, J.R.R. Tolkien","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Young Adult, Literature, Magic",4.61,"142,899 ratings","2,448 reviews","These magical adaptations became instant classics when they were first broadcast on BBC Radio 4, and continue to delight today. Tolkien's epic tale of Middle-earth has all the classic ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a terrifying dragon, a great wizard, a fearsome evil, a perilous quest and a dramatic climax. With an all-star cast including Ian Holm, Michael Hordern, Robert Stephens, John le Mesurier and Bill Nighy, these enchanting dramatisations are a must for all Tolkien fans. 'For those who find the books too long-winded and the films too noisy, this is the perfect way to assimilate the myth and magic of Middle-earth' - Guardian.

19 CDs. 17 hrs 30 mins.",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
Howl’s Moving Castle,"Diana Wynne Jones, Diana Wynne Jones","Fantasy, Young Adult, Fiction, Romance, Middle Grade, Magic, Classics, Audiobook, Childrens, Adventure",4.29,"437,993 ratings","38,514 reviews","An alternative cover edition for this ISBN can be found here

Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.",https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
The Pearl,"John Steinbeck, John Steinbeck","Classics, Fiction, Literature, School, Historical Fiction, American, Novels, Read For School, Short Stories, Novella",3.56,"266,658 ratings","15,555 reviews","Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…

A story of classic simplicity, based on a Mexican folk tale, The Pearl explores the secrets of man’s nature, greed, the darkest depths of evil, and the luminous possibilities of love.",https://www.goodreads.com/book/show/5308.The_Pearl
There's a Wocket in My Pocket!,"Dr. Seuss, Dr. Seuss","Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor, Kids, Juvenile, Young Adult",4.07,"35,400 ratings","1,030 reviews","""Did you ever have the feeling there's a WASKET in your BASKET?""

'There's a Wocket in My Pocket!' is filled with bizarre creatures and rhymes such as the ""nupboard in the cupboard"", ""ghairs beneath the stairs"", and the ""bofa on the sofa""!

In this silly Bright and Early Book classic by Dr. Seuss, a young boy goes exploring in his house and finds an array of fun characters! Are you certain there's a Jertain in the curtain? Or have you ever had a feeling there's a Geeling on the ceiling? From the pesky Nooth Grush on a tooth brush to a sleepy Zelf up on the shelf, will have young readers eager to explore their homes and the wonders of rhyming and wordplay.



With his unique combination of hilarious stories, zany pictures and riotous rhymes, has been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic and ranked among the world's top children's authors, Dr. Seuss is a global best-seller, with nearly half a billion books sold worldwide.",https://www.goodreads.com/book/show/310272.There_s_a_Wocket_in_My_Pocket_
