Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
A Game of Thrones,"George R.R. Martin, George R.R. Martin","Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult, Audiobook, Science Fiction Fantasy",4.45,"2,704,666 ratings","70,875 reviews","Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom’s protective Wall. To the south, the king’s powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king’s new Hand, an appointment that threatens to sunder not only his family but the kingdom itself.

Sweeping from a harsh land of cold to a summertime kingdom of epicurean plenty, tells a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; a child is lost in the twilight between life and death; and a determined woman undertakes a treacherous journey to protect all she holds dear. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Starks hangs perilously in the balance, as each side endeavors to win that deadliest of conflicts: the game of thrones.",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"J.R.R. Tolkien, J.R.R. Tolkien","Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Young Adult, Literature, Magic",4.61,"142,900 ratings","2,447 reviews","These magical adaptations became instant classics when they were first broadcast on BBC Radio 4, and continue to delight today. Tolkien's epic tale of Middle-earth has all the classic ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a terrifying dragon, a great wizard, a fearsome evil, a perilous quest and a dramatic climax. With an all-star cast including Ian Holm, Michael Hordern, Robert Stephens, John le Mesurier and Bill Nighy, these enchanting dramatisations are a must for all Tolkien fans. 'For those who find the books too long-winded and the films too noisy, this is the perfect way to assimilate the myth and magic of Middle-earth' - Guardian.

19 CDs. 17 hrs 30 mins.",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Name of the Wind,"Patrick Rothfuss, Patrick Rothfuss","Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy, Adult, Adventure, Book Club",4.52,"1,067,171 ratings","60,596 reviews","Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.

The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature.

A high-action story written with a poet's hand, is a masterpiece that will transport readers into the body and mind of a wizard.",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Way of Kings,"Brandon Sanderson, Brandon Sanderson","Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Adult, Science Fiction Fantasy, Magic, Epic, Adventure",4.66,"649,140 ratings","51,721 reviews","From #1 New York Times bestselling author Brandon Sanderson, The Way of Kings, book one of The Stormlight Archive begins an incredible new saga of epic proportion.

Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.

It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars were fought for them, and won by them.

One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable.

Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by over-powering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity.

Across the ocean, an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic, Dalinar's niece, Jasnah. Though she genuinely loves learning, Shallan's motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war.

The result of over ten years of planning, writing, and world-building, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making.",https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes, C.S. Lewis","Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Adventure, Middle Grade, Christian Fiction, Science Fiction Fantasy",4.28,"701,415 ratings","13,401 reviews","Librarian note: An alternate cover for this edition can be found here: 2005.

Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.

For the past fifty years, have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.

This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Eye of the World,"Robert Jordan, Robert Jordan","Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure, Magic, Adult, Epic",4.19,"584,905 ratings","26,312 reviews","The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. What was, what will be, and what is, may yet fall under the Shadow.

Moiraine Damodred arrives in Emond’s Field on a quest to find the one prophesized to stand against The Dark One, a malicious entity sowing the seeds of chaos and destruction. When a vicious band of half-men, half beasts invade the village seeking their master’s enemy, Moiraine persuades Rand al’Thor and his friends to leave their home and enter a larger unimaginable world filled with dangers waiting in the shadows and in the light.",https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Mistborn: The Final Empire,"Brandon Sanderson, Brandon Sanderson","Fantasy, Fiction, High Fantasy, Audiobook, Epic Fantasy, Magic, Adult, Science Fiction Fantasy, Young Adult, Adventure",4.49,"937,453 ratings","77,612 reviews","What if the whole world were a dead, blasted wasteland?

Mistborn
For a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear. For a thousand years the Lord Ruler, the ""Sliver of Infinity,"" reigned with absolute power and ultimate terror, divinely invincible. Then, when hope was so long lost that not even its memory remained, a terribly scarred, heart-broken half-Skaa rediscovered it in the depths of the Lord Ruler's most hellish prison. Kelsier ""snapped"" and found in himself the powers of a Mistborn. A brilliant thief and natural leader, he turned his talents to the ultimate caper, with the Lord Ruler himself as the mark.

Kelsier recruited the underworld's elite, the smartest and most trustworthy allomancers, each of whom shares one of his many powers, and all of whom relish a high-stakes challenge. Then Kelsier reveals his ultimate dream, not just the greatest heist in history, but the downfall of the divine despot.

But even with the best criminal crew ever assembled, Kel's plan looks more like the ultimate long shot, until luck brings a ragged girl named Vin into his life. Like him, she's a half-Skaa orphan, but she's lived a much harsher life. Vin has learned to expect betrayal from everyone she meets. She will have to learn trust if Kel is to help her master powers of which she never dreamed.

Brandon Sanderson, fantasy's newest master tale-spinner and author of the acclaimed debut , dares to turn a genre on its head by asking a simple question: What if the prophesied hero failed to defeat the Dark Lord? The answer will be found in the Mistborn Trilogy, a saga of surprises that begins with the book in your hands. Fantasy will never be the same again.",https://www.goodreads.com/book/show/68428.Mistborn
His Dark Materials,"Philip Pullman, Philip Pullman","Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics, Adventure, Steampunk, Middle Grade",4.29,"167,553 ratings","5,879 reviews","The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in one volume perfect for any fan or newcomer to this modern fantasy classic series.

These thrilling adventures tell the story of Lyra and Will—two ordinary children on a perilous journey through shimmering haunted otherworlds. They will meet witches and armored bears, fallen angels and soul-eating specters. And in the end, the fate of both the living—and the dead—will rely on them.

Phillip Pullman’s spellbinding His Dark Materials trilogy has captivated readers for over twenty years and won acclaim at every turn. It will have you questioning everything you know about your world and wondering what really lies just out of reach.",https://www.goodreads.com/book/show/18116.His_Dark_Materials
Assassin's Apprentice,"Robin Hobb, Robin Hobb","Fantasy, Fiction, High Fantasy, Epic Fantasy, Audiobook, Adult, Magic, Adventure, Science Fiction Fantasy, Young Adult",4.19,"390,148 ratings","24,630 reviews","In a faraway land where members of the royal family are named for the virtues they embody, one young boy will become a walking enigma.

Born on the wrong side of the sheets, Fitz, son of Chivalry Farseer, is a royal bastard, cast out into the world, friendless and lonely. Only his magical link with animals - the old art known as the Wit - gives him solace and companionship. But the Wit, if used too often, is a perilous magic, and one abhorred by the nobility.

So when Fitz is finally adopted into the royal household, he must give up his old ways and embrace a new life of weaponry, scribing, courtly manners; and how to kill a man secretly, as he trains to become a royal assassin.",https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
Eragon,"Christopher Paolini, Christopher Paolini","Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy, Childrens, Young Adult Fantasy, Audiobook",3.96,"1,921,489 ratings","32,046 reviews","An alternate cover edition for ISBN 9780375826696 can be found here.

One boy...
One dragon...
A world of adventure.

When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself.

Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds.

Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands.",https://www.goodreads.com/book/show/113436.Eragon
The Lies of Locke Lamora,"Scott Lynch, Scott Lynch","Fantasy, Fiction, Audiobook, Adventure, High Fantasy, Adult, Epic Fantasy, Mystery, Science Fiction Fantasy, Crime",4.30,"334,839 ratings","24,243 reviews","ASIN B000JMKNJ2 moved to the more recent edition

An orphan’s life is harsh—and often short—in the mysterious island city of Camorr. But young Locke Lamora dodges death and slavery, becoming a thief under the tutelage of a gifted con artist. As leader of the band of light-fingered brothers known as the Gentleman Bastards, Locke is soon infamous, fooling even the underworld’s most feared ruler. But in the shadows lurks someone still more ambitious and deadly. Faced with a bloody coup that threatens to destroy everyone and everything that holds meaning in his mercenary life, Locke vows to beat the enemy at his own brutal game—or die trying.",https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
The Gunslinger,"Stephen King, Stephen King","Fantasy, Fiction, Horror, Science Fiction, Audiobook, Westerns, Adventure, Thriller, Science Fiction Fantasy, Dystopia",3.91,"657,366 ratings","28,270 reviews","In the first book of this series, Stephen King introduces readers to one of his most enigmatic heroes, Roland of Gilead, The Last Gunslinger.

He is a haunting figure, a loner on a spellbinding journey into good and evil. In his desolate world, which frighteningly mirrors our own, Roland pursues The Man in Black, encounters an alluring woman named Alice, and begins a friendship with the Kid from Earth called Jake. Both grippingly realistic and eerily dreamlike, The Gunslinger leaves readers eagerly awaiting the next chapter.",https://www.goodreads.com/book/show/43615.The_Gunslinger
Wizard's First Rule,"Terry Goodkind, Terry Goodkind","Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Magic, Adventure, Romance, Audiobook, Adult",4.12,"252,911 ratings","7,871 reviews","In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more.

His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In a dark age it takes courage to live, and more than mere courage to challenge those who hold dominion, Richard and Kahlan must take up that challenge or become the next victims. Beyond awaits a bewitching land where even the best of their hearts could betray them. Yet, Richard fears nothing so much as what secrets his sword might reveal about his own soul. Falling in love would destroy them—for reasons Richard can't imagine and Kahlan dare not say.

In their darkest hour, hunted relentlessly, tormented by treachery and loss, Kahlan calls upon Richard to reach beyond his sword—to invoke within himself something more noble. Neither knows that the rules of battle have just changed . . . or that their time has run out.

This is the beginning. One book. One Rule. Witness the birth of a legend.",https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Blade Itself,"Joe Abercrombie, Joe Abercrombie","Fantasy, Fiction, Audiobook, Epic Fantasy, High Fantasy, Dark Fantasy, Adult, Adventure, Science Fiction Fantasy, Magic",4.22,"303,231 ratings","20,604 reviews","Logen Ninefingers, infamous barbarian, has finally run out of luck. Caught in one feud too many, he’s on the verge of becoming a dead barbarian – leaving nothing behind him but bad songs, dead friends, and a lot of happy enemies.

Nobleman Captain Jezal dan Luthar, dashing officer, and paragon of selfishness, has nothing more dangerous in mind than fleecing his friends at cards and dreaming of glory in the fencing circle. But war is brewing, and on the battlefields of the frozen North they fight by altogether bloodier rules.

Inquisitor Glokta, cripple turned torturer, would like nothing better than to see Jezal come home in a box. But then Glokta hates everyone: cutting treason out of the Union one confession at a time leaves little room for friendship. His latest trail of corpses may lead him right to the rotten heart of government, if he can stay alive long enough to follow it.

Enter the wizard, Bayaz. A bald old man with a terrible temper and a pathetic assistant, he could be the First of the Magi, he could be a spectacular fraud, but whatever he is, he's about to make the lives of Logen, Jezal, and Glokta a whole lot more difficult.

Murderous conspiracies rise to the surface, old scores are ready to be settled, and the line between hero and villain is sharp enough to draw blood.",https://www.goodreads.com/book/show/944073.The_Blade_Itself
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith, J.R.R. Tolkien","Fantasy, Fiction, Classics, High Fantasy, Epic Fantasy, Science Fiction Fantasy, Mythology, Audiobook, Literature, Adventure",4.03,"330,570 ratings","15,870 reviews","The Silmarillion is an account of the Elder Days, of the First Age of Tolkien’s world. It is the ancient drama to which the characters in The Lord of the Rings look back, and in whose events some of them such as Elrond and Galadriel took part. The tales of The Silmarillion are set in an age when Morgoth, the first Dark Lord, dwelt in Middle-Earth, and the High Elves made war upon him for the recovery of the Silmarils, the jewels containing the pure light of Valinor.",https://www.goodreads.com/book/show/7332.The_Silmarillion
