Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
The Gone World,"Tom Sweterlitsch, Tom Sweterlitsch","Science Fiction, Horror, Fiction, Time Travel, Mystery, Thriller, Audiobook",3.92,"27,182 ratings","3,268 reviews","Inception meets True Detective in this science fiction thriller of spellbinding tension and staggering scope that follows a special agent into a savage murder case with grave implications for the fate of mankind...

Shannon Moss is part of a clandestine division within the Naval Criminal Investigative Service. In western Pennsylvania, 1997, she is assigned to solve the murder of a Navy SEAL's family--and to locate his vanished teenage daughter. Though she can't share the information with conventional law enforcement, Moss discovers that the missing SEAL was an astronaut aboard the spaceship —a ship assumed lost to the currents of Deep Time. Moss knows first-hand the mental trauma of time-travel and believes the SEAL's experience with the future has triggered this violence.

Determined to find the missing girl and driven by a troubling connection from her own past, Moss travels ahead in time to explore possible versions of the future, seeking evidence to crack the present-day case. To her horror, the future reveals that it's not only the fate of a family that hinges on her work, for what she witnesses rising over time's horizon and hurtling toward the present is the Terminus: the terrifying and cataclysmic end of humanity itself.

Luminous and unsettling, bristles with world-shattering ideas yet remains at its heart an intensely human story.",https://www.goodreads.com/book/show/33413556-the-gone-world
Lord of Chaos,"Robert Jordan, Robert Jordan","Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Science Fiction Fantasy, Epic, Adventure, Magic, Adult",4.19,"193,987 ratings","6,204 reviews","In this sequel to the phenomenal New York Times bestseller The Fires of Heaven, we plunge again into Robert Jordan's extraordinarily rich, totally unforgettable world:

On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world ...

In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne -- and where an unexpected visitor may change the world ...

In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march ...

Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally ...

And south lies Illian, where Sammael holds sway ...",https://www.goodreads.com/book/show/35231.Lord_of_Chaos
The Book of Doors,"Gareth Brown, Gareth Brown","Fantasy, Fiction, Magical Realism, Audiobook, Time Travel, Books About Books, Book Club, Magic, Mystery, Romance",4.03,"90,481 ratings","15,185 reviews","If you could open a door to anywhere, where would you go?

In New York City, bookseller Cassie Andrews is living an unassuming life when she is given a gift by a favourite customer. It's a book—an unusual book, full of strange writing and mysterious drawings. And at the very front there is a handwritten message to Cassie, telling her that this is the Book of Doors, and that any door is every door.

What Cassie is about to discover is that the Book of Doors is a special book that bestows an extraordinary powers on whoever possesses it, and soon she and her best friend Izzy are exploring all that the Book of Doors can do, swept away from their quiet lives by the possibilities of travelling to anywhere they want.

But the Book of Doors is not the only magical book in the world. There are other books that can do wondrous and dreadful things when wielded by dangerous and ruthless individuals—individuals who crave what Cassie now possesses.

Suddenly Cassie and Izzy are confronted by violence and danger, and the only person who can help them is, it seems, Drummond Fox. He is a man fleeing his own demons—a man with his own secret library of magical books that he has hidden away in the shadows for safekeeping. Because there is a nameless evil out there that is hunting them all...

Because some doors should never be opened.",https://www.goodreads.com/book/show/156480764-the-book-of-doors
Midlife in Gretna Green,"Linzi Day, Linzi Day","Fantasy, Magic, Novels, Science Fiction Fantasy, Urban Fantasy, High Fantasy, Adventure, Fiction, Epic Fantasy, Speculative Fiction",4.56,"5,326 ratings",680 reviews,"It’s never too late to learn how to stand up for yourself

Niki McKnight has spent her entire adult life being bullied—first by her husband and then by her boss.

Recently widowed, she’s in dire need of an extreme life makeover. But she never expected it to come in the form of her beloved Gran leaving her a magical estate and a mysterious new job as a Recorder—whatever the hell that is!

She and Tilly, her adorable Bichon Frise, head to Scotland to claim her inheritance with no freaking clue what’s in store for them.

In Gretna Green, they meet a colourful cast of characters, including a sentient house, talking cat, Celtic god, Fae king and a sketchy lawyer.

Can the woman who wouldn’t stand up to her husband and was bullied by her boss find and wield the authority required to keep Vikings, Pict and Fae royalty in line?

With the help of her family’s psychic gift and some magic - she just might!

MidLife in Gretna Green is perfect for readers who’d enjoy a funny, upbeat story in a magical house about a woman who wants to find and use her own voice and finally claim her power.",https://www.goodreads.com/book/show/61415590-midlife-in-gretna-green
The Ophiuchi Hotline,"John Varley, John Varley","Science Fiction, Fiction, Science Fiction Fantasy, Speculative Fiction, Space Opera, Fantasy, High Fantasy, Magic, Epic Fantasy, Novels",3.90,"3,979 ratings",237 reviews,"After the effortless capture of Earth by vastly superior aliens, humanity is forced to fight for existence on the Moon and other lumps of airless rock. The invention of the Hotline — a constant stream of data from a star in the constellation Ophiuchus —facilitates survival and enables the development of amazing new technologies. Then, after 400 years, humanity's unknown helpers send a bill for their services...and suddenly everything is threatened once again.

The Ophiuchi Hotline was John Varley's first novel, and it received nominations for both the Hugo and Nebula awards; he later won both for his book .",https://www.goodreads.com/book/show/64931.The_Ophiuchi_Hotline
That Time I Got Drunk and Saved a Demon,"Kimberly Lemming, Kimberly Lemming","Fantasy, Romance, Romantasy, Audiobook, Fantasy Romance, Fiction, Adult, Paranormal, Cozy Fantasy, Dragons",3.86,"59,726 ratings","11,439 reviews","Spice trader Cinnamon's quiet life is turned upside down when she ends up on a quest with a fiery demon in this irreverently quirky rom-com fantasy that is sweet, steamy, and funny as hell—perfect for fans of  Legends & Lattes  and  The Dragon's Bride. 

All she wanted to do was live her life in peace--maybe get a cat, expand the family spice farm. Really, anything that didn't involve going on an adventure where an orc might rip her face off. But they say the Goddess has favorite, and if so, Cin is clearly not one of them... 

After saving the demon Fallon in a wine-drunk stupor, all Fallon wants to do is kill an evil witch enslaving his people. And, who can blame him? But he's dragging Cinnamon along for the ride. On the bright side, at least he keeps burning off his shirt.",https://www.goodreads.com/book/show/123425292-that-time-i-got-drunk-and-saved-a-demon
The Librarian of the Haunted Library,"Brian Yansky, Brian Yansky","Fantasy, Science Fiction Fantasy, Fiction, Horror, Novels, Mystery, Epic, High Fantasy, Magic, Paranormal",3.81,"3,836 ratings",396 reviews,"Demons, Headless seductresses, Rip Van Winkle, witches, occasional visits from angels, a god or two, and a ghoul in the stacks – just another day in Eden. A fun, fast, fantastical read.
My escape from a creepy clown lands me in a town straight out of a fever dream. And guess what? I become the new librarian after my predecessor is murdered ( a not uncommon end for librarians I find out too late) right in front of me. My first task is to find the killer.

Shouldn’t be too hard since it happened right in front of me, right? Wrong. The suspects are a town full of Supernatuals, including but not limited witches, magicians, ghosts, a werewolf, a grumpy gargoyle, a zombie, a mad scientist and four teenagers.
Did I mention that I might be the Chosen One according to some people in the know? Unfortunately, in this case Chosen One means the one destined to bring about the apocalypse. Guess whose son that makes me?

Can I solve the murder, save the town, and avoid fulfilling my doomsday destiny? Find out in this hilarious comedy adventure where the laughs are loud and the stakes are high! Read book 1 today!",https://www.goodreads.com/book/show/171907832-the-librarian-of-the-haunted-library
Getting It On With Gargoyles,"Hazel Mack, Hazel Mack","Fantasy, Romance, Monster Romance, Monsters, Paranormal, Paranormal Romance, Magic, Romantasy, Fiction, Epic Fantasy",3.98,"5,404 ratings",691 reviews,"The small town of Ever, Massachusetts is idyllic and quaint. It’s also chock full of monsters.

THEA

When my sister thrifts an aged map with iridescent lettering leading to a town called Ever, I roll my eyes. According to a quick internet search, the town doesn’t exist. We only manage to find it with the help of a sexy gas station owner who offers to come for me if I call him. Swoon. 

I quickly learn that Shepherd isn’t actually human, nobody in town is. News flash—he’s a gargoyle—a dominant, possessive, creme-brulee-loving monster. That should terrify me, but something about him keeps me coming back. Maybe it’s the snark. Maybe it’s the delicious snacks. Maybe it’s his wingspan, which leads me to wondering about the size of other things. I digress.

No one realized that when I came through the town’s protective wards, something happened to them. Now the town—and my sisters—are in danger from a soul-sucking evil that’s constantly trying to burrow its way in.

Can Shepherd and I save the town and our shot at love, or will evil ruin our happily ever after?

is the first book in the Haven Ever After monster romance series. Each book can be read as a standalone. If you're in the mood for possessive cinnamon roll heroes, look no further. Shepherd's got you covered. And he brings snacks.",https://www.goodreads.com/book/show/125691510-getting-it-on-with-gargoyles
Trickster's Choice,"Tamora Pierce, Tamora Pierce","Fantasy, Young Adult, Fiction, Young Adult Fantasy, Magic, Adventure, Romance, High Fantasy, Teen, Science Fiction Fantasy",4.26,"67,804 ratings","1,760 reviews","Alianne is the teenage daughter of the famed Alanna, the Lioness of Tortall. Aly is bold and brave like her mother, but she has no wish to become a knight. Instead she longs to follow in her father's footsteps as a spy, an ambition her parents vehemently oppose. After a furious argument Aly runs away, with disastrous consequences. Captured and sold as a slave in the Copper Isles, she discovers that this whole nightmare has not come about by chance - the Trickster God, Kyprioth, has plans for her...",https://www.goodreads.com/book/show/24431.Trickster_s_Choice
Another Fine Myth,"Robert Lynn Asprin, Robert Lynn Asprin","Fantasy, Humor, Fiction, Comedy, Science Fiction Fantasy, Magic, Adventure, Science Fiction, Audiobook, Dragons",4.04,"24,632 ratings",881 reviews,"Skeeve was a magician's apprentice—until an assassin struck and his master was killed. Now, with a purple-tongued demon named Aahz as a companion, he's on a quest to get even.",https://www.goodreads.com/book/show/64401.Another_Fine_Myth
