Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Hidden Prey,"John Sandford, John Sandford","Mystery, Fiction, Thriller, Crime, Mystery Thriller, Audiobook, Detective, Suspense, Procedural, Murder Mystery",4.13,"20,807 ratings",686 reviews,"Theories abound when a Russian gets himself killed by the shore of Lake Superior near Duluth, Minnesota - shot with fifty-year-old bullets. ""What's going on here?"" When it turns out he had very high government connections back home, state troubleshooter Lucas Davenport gets the call. Well actually, Lucas and a mysterious Russian cop with secrets all her own. Together, they'll follow a trail back to another place and another time, and battle the shadows they discover there - shadows that turn out to be both very real and very deadly.

""One of the strongest in Sandford's Prey series"" says 'Entertainment Weekly.' ""Good, dark, perverse, bloody fun,"" adds 'The Washington Post Book World.'",https://www.goodreads.com/book/show/888927.Hidden_Prey
Daughter of Venice,"Donna Jo Napoli, Donna Jo Napoli","Historical Fiction, Young Adult, Historical, Fiction, Italy, Romance, Childrens, Teen, Middle Grade, Fantasy",3.73,"3,247 ratings",225 reviews,Daughter of Venice,https://www.goodreads.com/book/show/668730.Daughter_of_Venice
State of the Union,"Douglas Kennedy, Douglas Kennedy","Fiction, Contemporary, Roman, Novels, Historical Fiction, Book Club, The United States Of America, France, Womens Fiction, Marriage",3.83,"3,204 ratings",264 reviews,"Hannah Buchan thinks herself ordinary. She is not the revolutionary child that her painter mother and famous radical father had hoped for. Raised in the creative chaos of 1960s America, Hannah vows to reject her parents' liberal lifestyle, and settles instead for typical family life in a nondescript corner of Maine.

But normality isn't quite what Hannah imagined it would to be, and try as she might to fight it, the urge to rebel against the things that hem her in grows ever stronger. Eventually, a series of encounters puts Hannah in an exhilarating but dangerous position - one in which she never thought she would find herself.

For decades, this one transgression in an otherwise faultless life lies buried deep in the past, all but forgotten - until a turn of fate brings it crashing back into the limelight. As her secret emerges, Hannah's life goes into freefall and she is left struggling against the force of the past.",https://www.goodreads.com/book/show/169794.State_of_the_Union
The Secret Speech,"Tom Rob Smith, Tom Rob Smith","Fiction, Historical Fiction, Thriller, Mystery, Crime, Russia, Historical, Mystery Thriller, Audiobook, Suspense",3.81,"20,147 ratings","1,694 reviews","Former state security officer Leo Demidov is struggling to change as the Soviet Union changes around him. The two young girls he adopted have yet to forgive him for his part in the death of their parents, and they are not alone; now that the truth is out, Leo and his family are in grave danger from someone consumed by the dark legacy of Leo's past.

Tom Rob Smith - the author whose debut, Child 44, has been called ""brilliant"" (Chicago Tribune), ""remarkable"" (Newsweek) and ""sensational"" (Entertainment Weekly) - returns with an intense, suspenseful new novel: a story where the sins of the past threaten to destroy the present, where families must overcome unimaginable obstacles to save their loved ones, and where hope for a better tomorrow is found in the most unlikely of circumstances . . .


Soviet Union, 1956. Stalin is dead, and a violent regime is beginning to fracture-leaving behind a society where the police are the criminals, and the criminals are innocent. A secret speech composed by Stalin's successor Khrushchev is distributed to the entire nation. Its message: Stalin was a tyrant. Its promise: The Soviet Union will change.

Facing his own personal turmoil, former state security officer Leo Demidov is also struggling to change. The two young girls he and his wife Raisa adopted have yet to forgive him for his part in the death of their parents. They are not alone. Now that the truth is out, Leo, Raisa, and their family are in grave danger from someone consumed by the dark legacy of Leo's past career. Someone transformed beyond recognition into the perfect model of vengeance.

From the streets of Moscow in the throes of political upheaval, to the Siberian gulags, and to the center of the Hungarian uprising in Budapest, is a breathtaking, epic novel that confirms Tom Rob Smith as one of the most exciting new authors writing today.",https://www.goodreads.com/book/show/6045456-the-secret-speech
"The Ultimates, Vol. 1: Super-Human","Mark Millar, Bryan Hitch, Andrew Currie, Mark Millar","Comics, Graphic Novels, Marvel, Superheroes, Comic Book, Fiction, Graphic Novels Comics, Fantasy, Science Fiction, Comics Manga",4.08,"9,719 ratings",347 reviews,"Nick Fury, head of an elite espionage agency, puts together a small army, known as the Ultimates, to protect the world from a variety of threats.",https://www.goodreads.com/book/show/844355.The_Ultimates_Vol_1
Pushed: The Painful Truth About Childbirth and Modern Maternity Care,"Jennifer Block, Jennifer Block","Nonfiction, Parenting, Feminism, Health, Medical, Science, Medicine, Sociology, History, Politics",4.24,"2,925 ratings",472 reviews,"In the United States, more than half the women who give birth are given drugs to induce or speed up labor; for nearly a third of mothers, childbirth is major surgery - the cesarean section. For women who want an alternative, choice is often Midwives are sometimes inaccessible; in eleven states they are illegal. In one of those states, even birthing centers are outlawed.When did birth become an emergency instead of an emergence? Since when is normal, physiological birth a crime? A groundbreaking journalistic narrative, Pushed presents the complete picture of maternity care in America. Crisscrossing the country to report what women really experience during childbirth, Jennifer Block witnessed several births - from a planned cesarean to an underground home birth. Against this backdrop, Block investigates whether routine C-sections, inductions, and epidurals equal medical progress. She examines childbirth as a reproductive rights Do women have the right to an optimal birth experience? If so, is that right being upheld? Block's research and experience reveal in vivid detail that while emergency obstetric care is essential, there is compelling evidence that we are overusing medical technology at the expense of maternal and infant Either women's bodies are failing, or the system is failing women.",https://www.goodreads.com/book/show/3267321-pushed
Kitty and the Midnight Hour,"Carrie Vaughn, Carrie Vaughn","Urban Fantasy, Fantasy, Paranormal, Werewolves, Vampires, Fiction, Shapeshifters, Romance, Paranormal Romance, Supernatural",3.69,"33,776 ratings","1,949 reviews","Kitty Norville is a midnight-shift DJ for a Denver radio station - and a werewolf in the closet. Her new late-night advice show for the supernaturally disadvantaged is a raging success, but it's Kitty who can use some help. With one sexy werewolf-hunter and a few homicidal undead on her tail, Kitty may have bitten off more than she can chew!",https://www.goodreads.com/book/show/14461.Kitty_and_the_Midnight_Hour
The Book of Deacon,"Joseph R. Lallo, Joseph R. Lallo","Fantasy, Fiction, Magic, Young Adult, Ebooks, Dragons, Adventure, Epic Fantasy, Paranormal, Science Fiction Fantasy",3.87,"10,401 ratings",768 reviews,"The Book of Deacon is the first book of The Book of Deacon series by Joseph R. Lallo. Myranda Celeste’s world has been built on a legacy of bloodshed. For more than a century, her homeland the Northern Alliance has fought the Kingdom of Tressor in what has come to be known as the Perpetual War. While her people look upon the conflict with reverence, Myranda’s hate for the war has made her an outcast. When she finds a precious sword among the equipment of a fallen warrior, she believes her luck may have changed. Little does she imagine that the treasure will draw her into an adventure of wizards and warriors, soldiers and rebels, and beasts both noble and monstrous. The journey will teach her much about her potential, about the origins of the war, and about the threat her world truly faces. Will Myranda unlock the secret of bringing peace once and for all, or will the world be lost to the Perpetual War?",https://www.goodreads.com/book/show/8616554-the-book-of-deacon
Roof of the Rockies: A History of Colorado Mountaineering,"William M. Bueler, William M. Bueler",History,3.97,32 ratings,3 reviews,"* Includes maps, drawings, and historic photos-some never before published

* The only complete history of exploring and climbing Colorado's mountains



Colorado has some of the highest and most spectacular peaks in North America, and no other state has a longer or more bountiful mountaineering legacy. In this long-awaited revised edition of what has become a mountaineering classic, mountaineer and historian William M. Bueler brings this rich history to life with tales of great adventures in Colorado climbing.



Combining solid research and entertaining prose, Roof of the Rockies tells the complete story of 200 years of mountaineering in Colorado, from early 19th century explorations and discoveries to the challenges and triumphs of the present Colorado mountianeering. Fascinating accounts the discovery by Pike of his Great Peak, the one-armed major who scaled unclimbable summits, the tragedy of Agnes Vaille, the conquering of the Diamond, and much more. This new edition has been completely revised and is beautifully illustrated with artist's drawings, informative maps, and dozens of vintage photographs.",https://www.goodreads.com/book/show/5006047-roof-of-the-rockies
Things Not Seen,"Andrew Clements, Andrew Clements","Young Adult, Science Fiction, Fiction, Fantasy, Middle Grade, Childrens, Mystery, Romance, Teen, Realistic Fiction",3.89,"26,800 ratings","2,137 reviews","Bobby Phillips is an average fifteen-year-old boy. Until the morning he wakes up and can't see himself in the mirror. Not blind, not dreaming. Bobby is just plain invisible...

There doesn't seem to be any rhyme or reason to Bobby's new condition; even his dad the physicist can't figure it out. For Bobby that means no school, no friends, no life. He's a missing person. Then he meets Alicia. She's blind, and Bobby can't resist talking to her, trusting her. But people are starting to wonder where Bobby is. Bobby knows that his invisibility could have dangerous consequences for his family and that time is running out. He has to find out how to be seen again before it's too late.",https://www.goodreads.com/book/show/542752.Things_Not_Seen
