Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Why Fish Fart: Gross but True Things You'll Wish You Didn't Know,"Francesca Gould, Francesca Gould","Nonfiction, Science, Humor, Reference, Trivia, Childrens, History",3.66,249 ratings,30 reviews,"Get ready to squirm and squeal over the craziest facts you've ever heard!
 
Have you ever
How many pounds of insect parts the average person eats each year?
Which specialty coffee is made from poop?
How someone turned farting into a job?
 
No? Then don’t open this book.
 
The world around you is pretty wonderful, but also extremely weird. For very odd facts about the human body, look for Why You Shouldn't Eat Your Gross but True Things You Don't Want to Know About Your Body .",https://www.goodreads.com/book/show/18148722-why-fish-fart
The General,"Robert Muchamore, Robert Muchamore","Young Adult, Fiction, Action, Childrens, Adventure, Thriller, Espionage, Crime, Teen, Mystery",4.28,"15,442 ratings",318 reviews,"Riots, robbery & the biggest ever training exercise.

The world's largest urban warfare training compound stands in the desert near Las Vegas. Forty British commandos are being hunted by an entire American batallion.

But their commander has an ace up his sleeve: he plans to smuggle in ten CHERUB agents and fight the best war game ever.",https://www.goodreads.com/book/show/2638786-the-general
Whereas,"Layli Long Soldier, Layli Long Soldier","Poetry, Indigenous, Native American, Nonfiction, History, Race, School, Contemporary, Social Justice, Womens",4.38,"4,315 ratings",578 reviews,"The astonishing, powerful debut by the winner of a 2016 Whiting Writers' Award

WHEREAS her birth signaled the responsibility as mother to teach what it is to be Lakota therein the question: What did I know about being Lakota? Signaled panic, blood rush my embarrassment. What did I know of our language but pieces? Would I teach her to be pieces? Until a friend comforted, Don’t worry, you and your daughter will learn together. Today she stood sunlight on her shoulders lean and straight to share a song in Diné, her father’s language. To sing she motions simultaneously with her hands; I watch her be in multiple musics.

—from “WHEREAS Statements”

confronts the coercive language of the United States government in its responses, treaties, and apologies to Native American peoples and tribes, and reflects that language in its officiousness and duplicity back on its perpetrators. Through a virtuosic array of short lyrics, prose poems, longer narrative sequences, resolutions, and disclaimers, Layli Long Soldier has created a brilliantly innovative text to examine histories, landscapes, her own writing, and her predicament inside national affiliations. “I am,” she writes, “a citizen of the United States and an enrolled member of the Oglala Sioux Tribe, meaning I am a citizen of the Oglala Lakota Nation—and in this dual citizenship I must work, I must eat, I must art, I must mother, I must friend, I must listen, I must observe, constantly I must live.” This strident, plaintive book introduces a major new voice in contemporary literature.",https://www.goodreads.com/book/show/29875897-whereas
No Shortcuts to the Top: Climbing the World's 14 Highest Peaks,"Ed Viesturs, David Roberts, Ed Viesturs","Nonfiction, Mountaineering, Adventure, Biography, Memoir, Climbing, Travel, Outdoors, Sports, Biography Memoir",4.14,"11,348 ratings",684 reviews,"This gripping and triumphant memoir follows a living legend of extreme mountaineering as he makes his assault on history, one 8,000-meter summit at a time.

For eighteen years Ed Viesturs pursued climbing’s holy to stand atop the world’s fourteen 8,000-meter peaks, without the aid of bottled oxygen. But No Shortcuts to the Top is as much about the man who would become the first American to achieve that goal as it is about his stunning quest. As Viesturs recounts the stories of his most harrowing climbs, he reveals a man torn between the flat, safe world he and his loved ones share and the majestic and deadly places where only he can go.

A preternaturally cautious climber who once turned back 300 feet from the top of Everest but who would not shrink from a peak (Annapurna) known to claim the life of one climber for every two who reached its summit, Viesturs lives by an unyielding motto, “Reaching the summit is optional. Getting down is mandatory.” It is with this philosophy that he vividly describes fatal errors in judgment made by his fellow climbers as well as a few of his own close calls and gallant rescues. And, for the first time, he details his own pivotal and heroic role in the 1996 Everest disaster made famous in Jon Krakauer's Into Thin Air.

In addition to the raw excitement of Viesturs’s odyssey, No Shortcuts to the Top is leavened with many funny moments revealing the camaraderie between climbers. It is more than the first full account of one of the staggering accomplishments of our time; it is a portrait of a brave and devoted family man and his beliefs that shaped this most perilous and magnificent pursuit.",https://www.goodreads.com/book/show/154924.No_Shortcuts_to_the_Top
Saint X,"Alexis Schaitkin, Alexis Schaitkin","Fiction, Mystery, Thriller, Mystery Thriller, Audiobook, Contemporary, Crime, Book Club, Literary Fiction, Suspense",3.38,"29,963 ratings","4,238 reviews","Claire is only seven years old when her college-age sister, Alison, disappears on the last night of their family vacation at a resort on the Caribbean island of Saint X. Several days later, Alison’s body is found in a remote spot on a nearby cay, and two local men – employees at the resort - are arrested. But the evidence is slim, the timeline against it, and the men are soon released. The story turns into national tabloid news, a lurid mystery that will go unsolved. For Claire and her parents, there is only the return home to broken lives.

Years later, Claire is living and working in New York City when a brief but fateful encounter brings her together with Clive Richardson, one of the men originally suspected of murdering her sister. It is a moment that sets Claire on an obsessive pursuit of the truth - not only to find out what happened the night of Alison’s death but also to answer the elusive question: Who exactly was her sister? At seven, Claire had been barely old enough to know her: a beautiful, changeable, provocative girl of eighteen at a turbulent moment of identity formation.

As Claire doggedly shadows Clive, hoping to gain his trust, waiting for the slip that will reveal the truth, an unlikely attachment develops between them, two people whose lives were forever marked by the same tragedy.",https://www.goodreads.com/book/show/43782399-saint-x
"Dance of the Reptiles: Rampaging Tourists, Marauding Pythons, Larcenous Legislators, Crazed Celebrities, and Tar-Balled Beaches: Selected Columns","Carl Hiaasen, Diane Stevenson, Carl Hiaasen","Nonfiction, Humor, Audiobook, Essays, Politics, Short Stories, Economics, Environment, Adult, Nature",3.51,"1,267 ratings",198 reviews,"NEW YORK TIMES BESTSELLER • A collection of the best Miami Herald columns from the New York Times bestselling author of Squeeze Me on burning issues like animal welfare, polluted rivers, and the broken criminal justice system.

If you think the wildest, wackiest stories that Carl Hiaasen can tell have all made it into his hilarious, bestselling novels, think again. Dance of the Reptiles collects the best of Hiaasen’s Miami Herald columns, which lay bare the stories—large and small—that demonstrate anew that truth is far stranger than fiction.

Hiaasen offers his commentary—indignant, disbelieving, sometimes righteously angry, and frequently hilarious—on issues like the Deepwater Horizon oil spill, Bernie Madoff's trial, and the shenanigans of the recent presidential elections. Whether or not you have read Carl Hiaasen before, you are in for a wild ride.",https://www.goodreads.com/book/show/17978478-dance-of-the-reptiles
Αρμινούτα,"Donatella Di Pietrantonio, Δήμητρα Δότση, Donatella Di Pietrantonio","Fiction, Italy, Italian Literature, Contemporary, Literary Fiction, Audiobook, Family, Womens, Novels, Coming Of Age",4.09,"27,507 ratings","2,675 reviews","«Και ποια είναι η μαμά σου;» με ρώτησε απεγνωσμένα.
«Έχω δύο. Η μία είναι η μητέρα σου».

Με μια βαλίτσα στο ένα χέρι και μια τσάντα με παπούτσια στο άλλο, ένα δεκατριάχρονο κορίτσι χτυπάει το κουδούνι μιας πόρτας, πίσω από την οποία την περιμένει ένας άγνωστος, ξένος κόσμος. Κάπως έτσι ξεκινά αυτή η εκρηκτική, καθηλωτική ιστορία, με μια έφηβη που από τη μια μέρα στην άλλη αναγκάζεται να επιστρέψει στη βιολογική της οικογένεια και να χάσει τα πάντα: τις ανέσεις της, τις αγαπημένες της φίλες, την άνευ όρων αγάπη των γονιών της ή μάλλον εκείνων που νόμιζε γονείς της. Το καινούριο της σπίτι είναι μικρό, σκοτεινό, γεμάτο αδέρφια και με λιγοστό φαγητό. H Αρμινούτα, το κορίτσι που το γύρισαν πίσω, όπως τη βάφτισαν στη διάλεκτο του τόπου τους οι καινούριοι της συμμαθητές, αναζητά μια απάντηση μα και τη θέση της σε τούτο τον κόσμο.

Η Ντονατέλα Ντι Πιετραντόνιο αφουγκράζεται τη γη της, αυτόν τον άγνωστο, τραχύ και άγριο ορεινό τόπο του Αμπρούτσο και πραγματεύεται το θέμα της μητρότητας, της γονικής ευθύνης, της οικογενειακής φροντίδας, της εγκατάλειψης και του ανήκειν από μια πρωτότυπη οπτική και με μια σπάνια εκφραστική ένταση.",https://www.goodreads.com/book/show/43087329
Fantoma,"Fred Burton, Fred Burton","Nonfiction, History, Espionage, Memoir, Biography, Audiobook, Military Fiction, Terrorism, Politics, War",3.80,"1,377 ratings",163 reviews,"For decades, Fred Burton, a key figure in international counterterrorism and domestic spycraft, has secretly been on the front lines in the fight to keep Americans safe around the world. Now, in this hard-hitting memoir, Burton emerges from the shadows to reveal who he is, what he has accomplished, and the threats that lurk unseen except by an experienced, world-wise few.

In the mid-eighties, the idea of defending Americans against terrorism was still new. But a trio of suicide bombings in Beirut–including one that killed 241 marines and forced our exit from Lebanon–had changed the mindset and mission of the Diplomatic Security Service (DSS), the arm of the State Department that protects U.S. embassy officials across the globe. Burton, a member of DSS’s tiny but elite Counterterrorism Division, was plunged into a murky world of violent religious extremism spanning the streets of Middle Eastern cities and the informant-filled alleys of American slums. From battling Libyan terrorists and their Palestinian surrogates to having facing down hijackers, hostages, and Hezbollah double agents, Burton found himself on the front lines of America’s first campaign against Terror.

In this globe-trotting account of one counterterrorism agent’s life and career, Burton takes us behind the scenes to reveal how the United States tracked Libya-linked master terrorist Abu Nidal; captured Ramzi Yusef, architect of the 1993 World Trade Center bombing; and pursued the assassins of major figures including Yitzhak Rabin, Meir Kahane, and General Muhammad Zia-ul-Haq, the president of Pakistan–classic cases that have sobering new meaning in the treacherous years since 9/11. Here, too, is Burton’s advice on personal safety for today’s most powerful CEOs, gleaned from his experience at Stratfor, the private firm Barron’s calls “the shadow CIA.”

Told in a no-holds-barred, gripping, nuanced style that illuminates a complex and driven man, is both a riveting read and an illuminating look into the shadows of the most important struggle of our time.",https://www.goodreads.com/book/show/15941604-fantoma
It Takes What It Takes: How to Think Neutrally and Gain Control of Your Life,"Trevor Moawad, Andy Staples, Trevor Moawad","Nonfiction, Self Help, Psychology, Leadership, Sports, Personal Development, Audiobook, Business, Management, Philosophy",3.97,"2,751 ratings",265 reviews,"Foreword by Seattle Seahawks quarterback Russell Wilson
From a top mental conditioning coach—”the world’s best brain trainer” (Sports Illustrated)—who has transformed the lives and careers of elite athletes, business leaders, and military personnel, battle-tested strategies that will give you tools to manage and overcome negativity and achieve any goal.

Trevor Moawad is a mental conditioning coach who has helped professionals from all walks of life, from Ft. Bragg to Harvard Business School, the NFL to Fortune 500 companies. Moawad’s mission is clear: motivate the motivated.

Now, for the first time ever, Moawad shares the formula he has exclusively used to help these elites with everyone. shows you how to deal with even the most challenging circumstances—and thrive. Moawad reveals how top performers hone their competitive edge by effectively managing both negativity and failure as well as positivity and success: Neutral thinking is the key.

Neutral thinking is a high-performance strategy that emphasizes judgment-free thinking, especially in pressure situations. It acknowledges that the past happened. However, the past isn’t predictive. If you can absorb and embrace that belief, everything can change.

Down-shifting your brain into neutral takes practice. But once you get the hang of it, you can go to the truth on a dime. You can deal with the facts at hand. You’ll feel calmer, more aware of the situation as it unfolds, moment to moment. And the athlete—or employee, or spouse, or parent—who’s calmer and more aware succeeds.",https://www.goodreads.com/book/show/44890091-it-takes-what-it-takes
The Enlightenment of the Greengage Tree,"Shokoofeh Azar, Adrien Kijek, Shokoofeh Azar","Fiction, Iran, Magical Realism, Historical Fiction, Middle East, Fantasy, Literary Fiction, Historical, Asia, Book Club",3.77,"4,931 ratings",865 reviews,"The Enlightenment of the Greengage Tree is an extraordinarily powerful and evocative literary novel set in Iran in the period immediately after the Islamic Revolution in 1979. Using the lyrical magic realism style of classical Persian storytelling, Azar draws the reader deep into the heart of a family caught in the maelstrom of post-revolutionary chaos and brutality that sweeps across an ancient land and its people.

The Enlightenment of the Greengage Tree is really an embodiment of Iranian life in constant oscillation, struggle and play between four opposing poles: life and death; politics and religion. The sorrow residing in the depths of our joy is the product of a life between these four poles.",https://www.goodreads.com/book/show/35708940-the-enlightenment-of-the-greengage-tree
