Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Pet Sematary,"Stephen King, Stephen King","Horror, Fiction, Thriller, Audiobook, Fantasy, Paranormal, Horror Thriller, Adult, Supernatural, Mystery",4.08,"686,070 ratings","31,935 reviews","'This is an alternate Cover Edition for ASIN: B00K3NEE56. When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth-more terrifying than death itself-and hideously more powerful. The Creeds are going to learn that sometimes dead is better.",https://www.goodreads.com/book/show/33124137-pet-sematary
Misery,"Stephen King, Stephen King","Horror, Fiction, Thriller, Mystery, Suspense, Audiobook, Mystery Thriller, Horror Thriller, Adult, Classics",4.23,"833,036 ratings","35,363 reviews","Alternate Cover Editions #1, #2, #3, #4

Paul Sheldon. He's a bestselling novelist who has finally met his biggest fan. Her name is Annie Wilkes and she is more than a rabid reader - she is Paul's nurse, tending his shattered body after an automobile accident. But she is also his captor, keeping him prisoner in her isolated house.",https://www.goodreads.com/book/show/10614.Misery
The Exorcist,"William Peter Blatty, William Peter Blatty","Horror, Fiction, Classics, Thriller, Paranormal, Audiobook, Supernatural, Fantasy, Horror Thriller, Religion",4.21,"267,069 ratings","12,203 reviews","Georgetown, Washington D.C. Actress and divorced mother Chris MacNeil starts to experience 'difficulties' with her usually sweet-natured eleven-year-old daughter Regan. The child becomes afflicted by spasms, convulsions and unsettling amnesiac episodes; these abruptly worsen into violent fits of appalling foul-mouthed curses, accompanied by physical mutation. Medical science is baffled by Regan's plight and, in her increasing despair, Chris turns to troubled priest and psychiatrist Damien Karras, who immediately recognises something profoundly malevolent in Regan's distorted fetures and speech. On Karras's recommendation, the Church summons Father Merrin, a specialist in the exorcism of demons . . .",https://www.goodreads.com/book/show/179780.The_Exorcist
The Haunting of Hill House,"Shirley Jackson, Laura Miller, Shirley Jackson","Horror, Classics, Fiction, Gothic, Mystery, Paranormal, Audiobook, Thriller, Book Club, Ghosts",3.81,"383,023 ratings","38,397 reviews","“Hill House, not sane, stood by itself against its hills, holding darkness within. . . .”

Four seekers have arrived at the rambling old pile known as Hill House: Dr. Montague, an occult scholar looking for solid evidence of psychic phenomena; Theodora, his lovely and lighthearted assistant; Luke, the adventurous future inheritor of the estate; and Eleanor, a friendless, fragile young woman with a dark past. As they begin to cope with chilling, even horrifying occurrences beyond their control or understanding, they cannot possibly know what lies ahead. For Hill House is gathering its powers—and soon it will choose one of them to make its own.",https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
Carrie,"Stephen King, Stephen King","Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Supernatural, Adult, Audiobook, Horror Thriller",3.99,"831,112 ratings","33,008 reviews","A modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.

Make a date with terror and live the nightmare that is...Carrie
--back cover",https://www.goodreads.com/book/show/10592.Carrie
Frankenstein,"Mary Wollstonecraft Shelley, Mary Wollstonecraft Shelley","Classics, Horror, Fiction, Science Fiction, Gothic, Fantasy, School, Literature, Audiobook, Book Club",3.90,"1,820,000 ratings","84,060 reviews","This is an alternate cover edition for ISBN 9780141439471

'Now that I had finished, the beauty of the dream vanished, and breathless horror and disgust filled my heart ...'

Obsessed with creating life itself, Victor Frankenstein plunders graveyards for the material to fashion a new being, which he shocks into life with electricity. But his botched creature, rejected by Frankenstein and denied human companionship, sets out to destroy his maker and all that he holds dear. Mary Shelley's chilling Gothic tale was conceived when she was only eighteen, living with her lover Percy Shelley near Byron's villa on Lake Geneva. It would become the world's most famous work of horror fiction, and remains a devastating exploration of the limits of human creativity.

Based on the third edition of 1831, this volume contains all the revisions Mary Shelley made to her story, as well as her 1831 introduction and Percy Bysshe Shelley's preface to the first edition. This revised edition includes as appendices a select collation of the texts of 1818 and 1831 together with 'A Fragment' by Lord Byron and Dr John Polidori's 'The Vampyre: A Tale'.",https://www.goodreads.com/book/show/18490.Frankenstein
The Silence of the Lambs,"Thomas Harris, Thomas Harris","Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller, Suspense, Novels, Audiobook",4.26,"583,813 ratings","11,782 reviews","A serial murderer known only by a grotesquely apt nickname—Buffalo Bill—is stalking women. He has a purpose, but no one can fathom it, for the bodies are discovered in different states. Clarice Starling, a young trainee at the FBI Academy, is surprised to be summoned by Jack Crawford, chief of the Bureau's Behavioral Science section. Her assignment: to interview Dr. Hannibal Lecter—Hannibal the Cannibal—who is kept under close watch in the Baltimore State Hospital for the Criminally Insane.

Dr. Lecter is a former psychiatrist with a grisly history, unusual tastes, and an intense curiosity about the darker corners of the mind. His intimate understanding of the killer and of Clarice herself form the core of ""The Silence of the Lambs""—an ingenious, masterfully written book and an unforgettable classic of suspense fiction.",https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs
Interview with the Vampire,"Anne Rice, Anne Rice","Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic, Supernatural, Historical Fiction, Urban Fantasy",4.02,"642,458 ratings","21,358 reviews","In a darkened room a young man sits telling the macabre and eerie story of his life - the story of a vampire, gifted with eternal life, cursed with an exquisite craving for human blood.

Here are the confessions of a vampire. Hypnotic, shocking, and chillingly erotic, this is a novel of mesmerizing beauty and astonishing force --- a story of danger and flight, of love and loss, of suspense and resolution, and of the extraordinary power of the senses. It is a novel only Anne Rice could write.",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Rosemary’s Baby,"Ira Levin, Ira Levin","Horror, Fiction, Classics, Thriller, Mystery, Fantasy, Paranormal, Audiobook, Supernatural, Suspense",4.05,"157,025 ratings","8,988 reviews","Suppose you were an up-to-date young wife who moved into an old and elegant New York apartment house with a rather strange past.

Suppose that only after you became pregnant did you begin to suspect the building harbored a diabolically evil group of devil worshippers who had mastered the arts of black magic and witchcraft.

Suppose that this satanic conspiracy set out to claim not only your husband but your baby.

Well, that's what happened to Rosemary... Or did it...?",https://www.goodreads.com/book/show/228296.Rosemary_s_Baby
Ghost Story,"Peter Straub, Peter Straub","Horror, Fiction, Paranormal, Ghosts, Mystery, Thriller, Fantasy, Supernatural, Book Club, Halloween",3.92,"82,533 ratings","3,661 reviews","In life, not every sin goes unpunished.

GHOST STORY

For four aging men in the terror-stricken town of Milburn, New York, an act inadvertently carried out in their youth has come back to haunt them. Now they are about to learn what happens to those who believe they can bury the past -- and get away with murder.",https://www.goodreads.com/book/show/19581.Ghost_Story
