Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Lunar Park,"Bret Easton Ellis, Bret Easton Ellis","Fiction, Horror, Thriller, Mystery, Contemporary, Novels, American",3.65,"30,631 ratings","1,518 reviews","Bret Ellis, the narrator of Lunar Park, is a writer whose first novel Less Than Zero catapulted him to international stardom while he was still in college. In the years that followed, he found himself adrift in a world of wealth, drugs, and fame, as well as dealing with the unexpected death of his abusive father. After a decade of decadence, a chance for salvation arrives; the chance to reconnect with an actress he was once involved with, and their son. But almost immediately his new life is threatened by a freak sequence of events and a bizarre series of murders that all seem to connect to Ellis’s past.

Reality, memoir, and fantasy combine to create not only a fascinating version of this most controversial writer but also a deeply moving novel about love and loss, parents and children, and ultimately forgiveness.",https://www.goodreads.com/book/show/4031.Lunar_Park
The Killing Dance,"Laurell K. Hamilton, Laurell K. Hamilton","Urban Fantasy, Vampires, Fantasy, Paranormal, Romance, Paranormal Romance, Horror, Fiction, Supernatural, Werewolves",4.13,"74,907 ratings","1,576 reviews","With a price on her head and professional hitmen on her trail, Anita Blake, vampire killer, zombie reanimator, and expert on the supernatural, receives unexpected assistance from an alpha werewolf and a master vampire. Originally in paperback.",https://www.goodreads.com/book/show/30244.The_Killing_Dance
The Halloween Tree,"Ray Bradbury, Ray Bradbury","Fantasy, Horror, Fiction, Halloween, Classics, Young Adult, Audiobook, Middle Grade, Childrens, Science Fiction",3.76,"38,726 ratings","4,996 reviews","A fast-moving, eerie tale set on Halloween night...

Eight costumed boys running to meet their friend Pipkin at the haunted house outside town encounter instead the huge and cadaverous Mr. Moundshroud. As Pipkin scrambles to join them, he is swept away by a dark Something, and Moundshroud leads the boys on the tail of a kite through time and space to search the past for their friend and the meaning of Halloween.",https://www.goodreads.com/book/show/761381.The_Halloween_Tree
Speaks the Nightbird,"Robert McCammon, Robert McCammon","Historical Fiction, Mystery, Horror, Fiction, Historical, Audiobook, Thriller, Witches, Fantasy, Mystery Thriller",4.16,"14,890 ratings","1,612 reviews","The Carolinas, 1699: The citizens of Fount Royal believe a witch has cursed their town with inexplicable tragedies, and they demand that beautiful widow Rachel Howarth be tried and executed for witchcraft. Presiding over the trial is traveling magistrate Issac Woodward, aided by his astute young clerk, Matthew Corbett. Believing in Rachel's innocence, Matthew will soon confront the true evil at work in Fount Royal.

After hearing damning testimony, magistrate Woodward sentences the accused witch to death by burning. Desperate to exonerate the woman he has come to love, Matthew begins his own investigation among the townspeople. Piecing together the truth, he has no choice but to vanquish a force more malevolent than witchcraft in order to save his beloved Rachel and free Fount Royal from the menace claiming innocent lives.",https://www.goodreads.com/book/show/1525997.Speaks_the_Nightbird
Vamphyri!,"Brian Lumley, Brian Lumley","Horror, Vampires, Fiction, Fantasy, Science Fiction, Paranormal, Thriller, Horror Thriller, Supernatural, Urban Fantasy",4.11,"8,372 ratings",280 reviews,"Not the end of life, Harry Keogh discovered--and not the end of his battle against he terrible evil of vampires. — In a secluded English village, Yulian Bodescu plots his takeover of the world. Imbued with a vampire's powers before his birth, Bodescu rules men's minds and bodies with supernatural ease. He is secretly creating an army of vampiric monsters, things that once were men but were now walking masses of destructive hunger!

Harry Keogh, Necroscope, thought that the war with the vampires had ended with the destruction of Boris Dragasani--and of Harry's body! But the man who talks to the dead lives on, more powerful than ever, able to transport himself instantly to any spot on the globe and to speak mind-to-mind with both the living and the dead.

Are Harry's new powers enough to defeat Yulian Bodescu and his legion of monsters--or will the vampire army overrun the living earth?",https://www.goodreads.com/book/show/60836.Vamphyri_
The Shadow over Innsmouth,"H.P. Lovecraft, H.P. Lovecraft","Horror, Fiction, Classics, Fantasy, Lovecraftian, Short Stories, Audiobook, Science Fiction, Weird Fiction, Mystery",4.10,"27,134 ratings","2,211 reviews","Considered to the be one of most influential American authors, Howard Philip Lovecraft is synonymous with some of the best fantasy and horror fiction of the 20th century, second only to Edgar Allan Poe.

Innsmouth is a dilapidated seaside town with secrets as a hybrid race of half-human and half-amphibian creatures worship the gods of Cthulhu and Dagon…

Written in 1931, and published by the Visionary Publishing Company some five years later.",https://www.goodreads.com/book/show/13175692-the-shadow-over-innsmouth
The Tomb,"F. Paul Wilson, F. Paul Wilson","Horror, Thriller, Fantasy, Fiction, Urban Fantasy, Mystery, Paranormal, Supernatural, Science Fiction, Adventure",4.05,"9,161 ratings",710 reviews,"Much to the chagrin of his girlfriend, Gia, Repairman Jack doesn’t deal with electronic appliances—he fixes situations for people, often putting himself in deadly danger. His latest project is recovering a stolen necklace, which carries with it an ancient curse that may unleash a horde of Bengali demons. Jack is used to danger, but this time Gia’s daughter Vicky is threatened. Can Jack overcome the curse of the yellow necklace and bring Vicky safely back home?",https://www.goodreads.com/book/show/219418.The_Tomb
Trapped,"J.A. Konrath, J.A. Konrath","Horror, Thriller, Fiction, Mystery, Suspense, Audiobook, Paranormal, Mystery Thriller, Science Fiction, Fantasy",3.87,"5,738 ratings",555 reviews,"TERRIFIED...

It was supposed to be a harmless camping trip.

Then Martin told a campfire story about the island's history. Of the old civil war prison hidden in there, and the starving Confederate soldiers who resorted to cannibalism to stay alive. Everyone thought it was funny. They even laughed when Martin pretended to be dragged off into the woods.

But Martin didn't come back. Then the laughter stopped.



The group soon began to realize that this deserted island wasn't so deserted after all. And perhaps Martin's ridiculous story had more truth to it than anyone thought.

What's the most horrifying thing you can imagine?

This is a hundred times worse...

TRAPPED by J.A. Konrath
It starts where other horror ends...

If you are a more sensitive (or adventurous) reader, the Konrath scale rates specific categories from 1 (lowest) to 10 (highest) to give you some idea if this is your kind of book.

TRAPPED
Scary - 9
Violent - 10
Funny - 2
Sexy - 2
Crossovers - Includes characters from the Konrath Dark Thriller Collective, the Jack Daniels thrillers, the Codename: Chandler series, and the Timecaster series.",https://www.goodreads.com/book/show/7487212-trapped
We Need to Talk About Kevin,"Lionel Shriver, Lionel Shriver","Fiction, Book Club, Thriller, Contemporary, Horror, Crime, Drama, Literary Fiction, Psychology, Adult",4.08,"210,164 ratings","18,799 reviews","The gripping international bestseller about motherhood gone awry.
Eva never really wanted to be a mother - and certainly not the mother of the unlovable boy who murdered seven of his fellow high school students, a cafeteria worker, and a much-adored teacher who tried to befriend him, all two days before his sixteenth birthday. Now, two years later, it is time for her to come to terms with marriage, career, family, parenthood, and Kevin's horrific rampage in a series of startlingly direct correspondences with her estranged husband, Franklin. Uneasy with the sacrifices and social demotion of motherhood from the start, Eva fears that her alarming dislike for her own son may be responsible for driving him so nihilistically off the rails.",https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin
The Ignored,"Bentley Little, Bentley Little","Horror, Fiction, Thriller, Fantasy, Novels, Mystery, Audiobook, Weird Fiction, Suspense, Science Fiction",3.80,"2,206 ratings",148 reviews,"YOU DON'T EXIST

Bob Jones is your ordinary guy, with a good job and a pretty girlfriend. Yet Bob has to admit he does have one problem. Nobody notices him, nobody remembers him. In a life where the common man goes unrecognized, Bob Jones is . . . ignored.

But one day Bob Jones is noticed. He is remembered. But he may have wished to remain unseen, for what the stranger who calls himself Philipe has in mind is something horrible. Something dreadful. He has revenge on his mind. Revenge against a world that has long ignored not just Bob but others.",https://www.goodreads.com/book/show/108572.The_Ignored
