Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
The Dispossessed: An Ambiguous Utopia,"Ursula K. Le Guin, Ursula K. Le Guin","Science Fiction, Fiction, Fantasy, Classics, Dystopia, Science Fiction Fantasy, Book Club",4.26,"147,420 ratings","12,982 reviews","Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe. To do this dangerous task will mean giving up his family and possibly his life—Shevek must make the unprecedented journey to the utopian mother planet, Urras, to challenge the complex structures of life and living, and ignite the fires of change.",https://www.goodreads.com/book/show/13651.The_Dispossessed
Anarchism and Other Essays,"Emma Goldman, Emma Goldman","Politics, Nonfiction, Philosophy, Feminism, Essays, History, Theory",4.06,"7,128 ratings",470 reviews,"Emma Goldman is often depicted in current academic discourse as a mere prototypical feminist and socialist. Yet this collection of essays by Goldman reveals that she often expressed ideas which many of her present day admirers might find surprising and unsettling. She distrusted the proletariat, wrote disdainfully of the early feminists who were her contemporaries, and even expressed scepticism of women's suffrage. Goldman was an admirer of Nietzsche and in many ways represents a model of a superior individual who is capable of rising above the herd instincts of the masses and embracing confrontation with danger. She never hesitated to countenance both the ire of public authorities and the scorn of public opinion. As contemporary anarchists have fallen into the mundane habit of politically correct conformity, a full examination of Goldman's thought suggests the need for a new anarchism that reflects the martial spirit of which Goldman was an exemplary.
Emma Goldman is often depicted in current academic discourse, and the “Left” in particular, as a role model for feminists and a champion of the proletariat. Keith Preston however in reviewing each chapter of Goldman’s most famous work “Anarchism and Other Essays” reveals that Emma Goldman often expressed ideas which many of her present day admirers will find surprising and unsettling. He highlights the fact that Emma Goldman distrusted the proletariat, wrote disdainfully of the early feminists who were her contemporaries, and expressed scepticism of women’s suffrage.
Keith Preston maintains that Emma Goldman can only be really understood by recognising her admiration for the ideas of the German philosopher Friedrich Nietzsche (an admiration that she shared with Adolf Hitler and the National Socialists). He argues that Emma Goldman (as with Nietzsche’s “Zarathustra”) represents a model of a “superior individual” who is capable of rising above the herd instincts of the masses - one who never hesitated to countenance both the ire of public authorities and the scorn of public opinion. Politically correct she was not.",https://www.goodreads.com/book/show/551926.Anarchism_and_Other_Essays
V for Vendetta,"Alan Moore, David Lloyd, Steve Whitaker, Alan Moore",N/A,4.26,"323,014 ratings","8,059 reviews","""Remember, remember the fifth of November...""

A frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world, V for Vendetta stands as one of the highest achievements of the comics medium and a defining work for creators Alan Moore and David Lloyd.

Set in an imagined future England that has given itself over to fascism, this groundbreaking story captures both the suffocating nature of life in an authoritarian police state and the redemptive power of the human spirit which rebels against it. Crafted with sterling clarity and intelligence, brings an unequaled depth of characterization and verisimilitude to its unflinching account of oppression and resistance.",https://www.goodreads.com/book/show/5805.V_for_Vendetta
Chomsky On Anarchism,"Noam Chomsky, Barry Pateman, Noam Chomsky","Politics, Nonfiction, Philosophy, History, Theory, Economics, Essays",3.84,"11,445 ratings",914 reviews,"We all know what Noam Chomsky is against. His scathing analysis of everything that’s wrong with our society reaches more and more people every day. His brilliant critiques of—among other things—capitalism, imperialism, domestic repression and government propaganda have become mini-publishing industries unto themselves. But, in this flood of publishing and republishing, very little ever gets said about what exactly Chomsky stands for, his own personal politics, his vision of the future.

Not, that is, until Chomsky on Anarchism, a groundbreaking new book that shows a different side of this best-selling author: the anarchist principles that have guided him since he was a teenager. This collection of Chomsky’s essays and inter-views includes numerous pieces that have never been published before, as well as rare material that first saw the light of day in hard-to-find pamphlets and anarchist periodicals. Taken together, they paint a fresh picture of Chomsky, showing his lifelong involvement with the anarchist community, his constant commitment to nonhierarchical models of political organization and his hopes for a future world without rulers.

For anyone who’s been touched by Chomsky’s trenchant analysis of our current situation, as well as anyone looking for an intelligent and coherent discussion of anarchism itself, look no further than .

is one of the world’s leading intellectuals, the father of modern linguistics, an outspoken media and foreign policy critic and tireless activist. He lives in Boston, Massachusetts.",https://www.goodreads.com/book/show/12618.Chomsky_On_Anarchism
The Conquest of Bread,"Pyotr Kropotkin, Demián Reyes, Pyotr Kropotkin","Politics, Philosophy, Nonfiction, Economics, Theory, History, Classics",4.06,"9,657 ratings",905 reviews,"The fourth in AK Press’ Working Classics series, The Conquest of Bread is Peter Kropotkin’s most extensive study of human needs and his outline of the most rational and equitable means of satisfying them. A combination of detailed historical analysis and far-reaching Utopian vision, this is a step-by-step guide to social revolution: the concrete means of achieving it, and the world that humanity’s “constructive genius” is capable of creating. Includes a new introduction that historically situates and discusses the contemporary relevance of Kropotkin’s ideas.",https://www.goodreads.com/book/show/1113155.The_Conquest_of_Bread
1984,"George Orwell, George Orwell","Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels",4.20,"5,345,120 ratings","149,706 reviews","The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever. 1984 is still the great modern classic of ""negative utopia""—a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny the novel's hold on the imaginations of whole generations, or the power of its admonitions—a power that seems to grow, not lessen, with the passage of time.",https://www.goodreads.com/book/show/5470.1984
Homage to Catalonia,"George Orwell, Lionel Trilling, George Orwell","History, Nonfiction, Politics, Classics, War, Memoir, Biography",4.09,"69,912 ratings","4,900 reviews",In 1936 George Orwell travelled to Spain to report on the Civil War and instead joined the fight against the Fascists. This famous account describes the war and Orwell’s own experiences. Introduction by Lionel Trilling.,https://www.goodreads.com/book/show/9646.Homage_to_Catalonia
Animal Farm,"George Orwell, Ann Patchett, Téa Obreht, George Orwell","Classics, Fiction, Dystopia, Fantasy, School, Politics, Literature",4.01,"4,452,713 ratings","127,768 reviews","After years of exploitation, neglect, and despair, the animals of Manor Farm revolt. They drive owner Mr. Jones off the land and rechristen the property Animal Farm, a utopia of equality and mutual support. But Napoleon, a young boar who assumes command after the rebellion, is hungry for power. And as the pigs consolidate control, all the good intentions of Animal Farm are crushed by a new and inevitable tyranny.

George Orwell’s Animal Farm, the chilling allegorical satire about the working class and the gripping rhetoric of despots, illustrates just how easy the slide into oppression and totalitarianism can be.",https://www.goodreads.com/book/show/7613.Animal_Farm
A People’s History of the United States: 1492 - Present,"Howard Zinn, Howard Zinn","History, Nonfiction, Politics, American History, Historical, Audiobook, Social Justice",4.09,"262,999 ratings","8,034 reviews","In the book, Zinn presented a different side of history from the more traditional ""fundamental nationalist glorification of country"".
Zinn portrays a side of American history that can largely be seen as the exploitation and manipulation of the majority by rigged systems that hugely favor a small aggregate of elite rulers from across the orthodox political parties.
A People's History has been assigned as reading in many high schools and colleges across the United States. It has also resulted in a change in the focus of historical work, which now includes stories that previously were ignored

Library Journal calls Howard Zinn’s book “a brilliant and moving history of the American people from the point of view of those…whose plight has been largely omitted from most histories.”",https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States
Anarcho-Syndicalism: Theory and Practice,"Rudolf Rocker, Mike Davis, Nicolas Walter, Rudolf Rocker",N/A,3.96,"1,690 ratings",97 reviews,"In 1937, at the behest of Emma Goldman, Rocker penned this political and philosophical masterpiece as an introduction to the ideals fueling the Spanish social revolution and resistance to capitalism the world over. Within, Rocker offers an introduction to anarchist ideas, a history of the international workers’ movement, and an outline of the syndicalist strategies and tactics embraced at the time (direct action, sabotage and the general strike). Includes a lengthy introduction by Nicholas Walter and a Preface by Noam Chomsky.

“[Rocker’s] approach is far from ‘utopian’; this is not an abstract discourse but a call to action.”—Noam Chomsky

Rudolf Rocker (1873–1958) was a leading figure in the international anarchist movement for over 60 years.",https://www.goodreads.com/book/show/51353.Anarcho_Syndicalism
