Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Fantasy, Young Adult, Fiction, Harry Potter, Magic, Audiobook, Childrens",4.62,"4,059,817 ratings","97,599 reviews","It's no longer safe for Harry at Hogwarts, so he and his best friends, Ron and Hermione, are on the run. Professor Dumbledore has given them clues about what they need to do to defeat the dark wizard, Lord Voldemort, once and for all, but it's up to them to figure out what these hints and suggestions really mean. Their cross-country odyssey has them searching desperately for the answers, while evading capture or death at every turn. At the same time, their friendship, fortitude, and sense of right and wrong are tested in ways they never could have imagined. The ultimate battle between good and evil that closes out this final chapter of the epic series takes place where Harry's Wizarding life began: at Hogwarts. The satisfying conclusion offers shocking last-minute twists, incredible acts of courage, powerful new forms of magic, and the resolution of many mysteries. Above all, this intense, cathartic book serves as a clear statement of the message at the heart of the Harry Potter series: that choice matters much more than destiny, and that love will always triumph over death.

Series Information: Eleven-year-old Harry Potter is an orphan living with his cruel aunt and uncle when he makes a discovery that will change his life forever: he is a wizard. He is whisked away to the mystical Hogwarts School of Witchcraft and Wizardry to learn magical skills, from potions to spells to flying on broomsticks. But an evil power is rising, the same one that threatened to destroy the entire world when Harry was only a baby. As Harry learns the truth about his family, his childhood, and his mysterious lightning-bolt-shaped scar, he finds unforgettable friendship, a loving surrogate family, and the courage to face the darkest force ever to menace the wizarding world. These charming and engrossing books bring an intensely detailed and captivating world to life and are perfect for enjoying individually or reading aloud.",https://www.goodreads.com/book/show/58613224-harry-potter-and-the-deathly-hallows
The Hunger Games,"Suzanne Collins, Suzanne Collins","Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",4.35,"9,742,716 ratings","256,724 reviews","Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . .

In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.

Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before-and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weigh survival against humanity and life against love.",https://www.goodreads.com/book/show/2767052-the-hunger-games
The Kite Runner,"Khaled Hosseini, Khaled Hosseini","Fiction, Historical Fiction, Classics, Contemporary, Book Club, Novels, Historical",4.35,"3,447,168 ratings","111,655 reviews","1970s Afghanistan: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what would happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to an Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption.",https://www.goodreads.com/book/show/77203.The_Kite_Runner
The Book Thief,"Markus Zusak, Markus Zusak","Historical Fiction, Fiction, Young Adult, Classics, Historical, Book Club, War",4.39,"2,838,892 ratings","158,642 reviews","Librarian's note: An alternate cover edition can be found here

It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.

By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.

But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down.

In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time.

(Note: this title was not published as YA fiction)",https://www.goodreads.com/book/show/19063.The_Book_Thief
Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens",4.58,"3,610,333 ratings","68,712 reviews","The war against Voldemort is not going well: even Muggle governments are noticing. Ron scans the obituary pages of The Daily Prophet looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses. And yet...

As in all wars, life goes on. Sixth-year students learn to Apparate, and lose a few eyebrows in the process. The Weasley twins expand their business. Teenagers flirt and fight and fall in love. Classes are never straightforward, though Harry receives some extraordinary help from the mysterious Half-Blood Prince.

So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Harry struggles to uncover the identity of the Half-Blood Prince, the past owner of a potions textbook he now possesses that is filled with ingenious, potentially deadly, spells. But Harry's life is suddenly changed forever when someone close to him is heinously murdered right before his eyes.

With Dumbledore's guidance, he seeks out the full, complex story of the boy who became Lord Voldemort, and thereby attempts to find what may be his only vulnerability.",https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Fantasy, Young Adult, Fiction, Harry Potter, Magic, Audiobook, Childrens",4.50,"3,743,182 ratings","76,002 reviews","It's official: the evil Lord Voldemort has returned. His influence is suddenly everywhere in the Wizarding world, and his former allies, the Death Eaters, are returning to his side in droves. In response, the Order of the Phoenix, which worked to stop him during his last rise to power, has reconvened. This time, all of the adults Harry trusts have joined in. And even though Harry is at the center of many of their plans - Voldemort is intent on killing him, after all - they want so badly to protect him that they are keeping him completely out of the loop. Problems are cropping up at Hogwarts, too, where government officials are meddling in just about everything. And just because Voldemort and the Death Eaters are threatening open warfare does not mean that fifth-year students get out of their exams. Meanwhile, Harry's powerful connection to Voldemort seems to be growing even stronger, as he realizes that he has direct access to the Dark Lord's mind. It's time for Harry and his friends to take drastic action, but the course they choose will have terrible unforeseen consequences. Truly dangerous times have arrived in the fifth Harry Potter novel, but it never loses the trademark fun, excitement, and wonder at the possibilities of magic.",https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix
The Help,"Kathryn Stockett, Kathryn Stockett","Fiction, Historical Fiction, Book Club, Historical, Classics, Adult, Adult Fiction",4.47,"2,989,642 ratings","93,742 reviews","Three ordinary women are about to take one extraordinary step.

Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.

Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.

Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.

Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.

In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't.",https://www.goodreads.com/book/show/4667024-the-help
A Thousand Splendid Suns,"Khaled Hosseini, Khaled Hosseini","Fiction, Historical Fiction, Book Club, Contemporary, Historical, Classics, Novels",4.45,"1,710,032 ratings","91,340 reviews","Mariam is only fifteen when she is sent to Kabul to marry the troubled and bitter Rasheed, who is thirty years her senior. Nearly two decades later, in a climate of growing unrest, tragedy strikes fifteen-year-old Laila, who must leave her home and join Mariam's unhappy household. Laila and Mariam are to find consolation in each other, their friendship to grow as deep as the bond between sisters, as strong as the ties between mother and daughter.

With the passing of time comes Taliban rule over Afghanistan, the streets of Kabul loud with the sound of gunfire and bombs, life a desperate struggle against starvation, brutality and fear, the women's endurance tested beyond their worst imaginings. Yet love can move people to act in unexpected ways, lead them to overcome the most daunting obstacles with a startling heroism. In the end it is love that triumphs over death and destruction.

is a portrait of a wounded country and a story of family and friendship, of an unforgiving time, an unlikely bond, and an indestructible love.",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
Catching Fire,"Suzanne Collins, Suzanne Collins","Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure",4.35,"4,084,178 ratings","150,094 reviews","Sparks are igniting.
Flames are spreading.
And the Capitol wants revenge.

Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create.

Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.

In , the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.",https://www.goodreads.com/book/show/6148028-catching-fire
Life of Pi,"Yann Martel, Yann Martel","Fiction, Fantasy, Classics, Book Club, Adventure, Contemporary, Magical Realism",3.94,"1,740,340 ratings","56,727 reviews","Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",https://www.goodreads.com/book/show/4214.Life_of_Pi
