Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
The Wood's Edge,"Lori Benton, Lori Benton","Historical Fiction, Christian Fiction, Christian, Historical, Romance, Fiction, Native American",4.41,"1,324 ratings",305 reviews,"At the wood’s edge cultures collide. Can two families survive the impact?
 
The 1757 New York frontier is home to the Oneida tribe and to British colonists, yet their feet rarely walk the same paths.
 
On the day Fort William Henry falls, Major Reginald Aubrey is beside himself with grief. His son, born that day, has died in the arms of his sleeping wife. When Reginald comes across an Oneida mother with newborn twins, one white, one brown, he makes a choice that will haunt the lives of all involved. He steals the white baby and leaves his own child behind. Reginald’s wife and foundling daughter, Anna, never suspect the truth about the boy they call William, but Reginald is wracked by regret that only intensifies with time, as his secret spreads its devastating ripples.
 
When the long buried truth comes to light, can an unlikely friendship forged at the wood’s edge provide a way forward? For a father tormented by fear of judgment, another by lust for vengeance. For a mother still grieving her lost child. For a brother who feels his twin’s absence, another unaware of his twin’s existence. And for Anna, who loves them both—Two Hawks, the mysterious Oneida boy she meets in secret, and William, her brother. As paths long divided collide, how will God direct the feet of those who follow Him?",https://www.goodreads.com/book/show/22822928-the-wood-s-edge
Claudia and Mean Janine: A Graphic Novel,"Raina Telgemeier, Ann M. Martin, Raina Telgemeier","Graphic Novels, Middle Grade, Comics, Fiction, Realistic Fiction, Childrens, Young Adult",4.36,"21,092 ratings",774 reviews,"Claudia and her sister, Janine, may as well be from two different planets. Claudia, who pays more attention to her art than her grades, feels she can't compete with her perfect sister. Janine studies nonstop, makes straight As, and even takes college-level courses. The girls are nothing alike, and they can't agree on anything. While Janine devotes all her time to working on her Web site, The Baby-sitters Club is busy with their new summer play group. But when something terrible happens to their grandmother, Mimi, the two sisters discover they're more alike than they originally thought.",https://www.goodreads.com/book/show/4534485-claudia-and-mean-janine
The Oxford Murders,"Guillermo Martínez, Sonia Soto, Guillermo Martínez","Mystery, Fiction, Crime, Thriller, Mystery Thriller, British Literature, Spanish Literature",3.36,"9,674 ratings","1,161 reviews","Two mathematicians must join forces to stop a serial killer in this spellbinding international bestseller

It begins on a summer day in Oxford, when a young Argentine graduate student finds his landlady - an elderly woman who helped crack the Enigma Code during World War II - murdered in cold blood. Meanwhile, a renowned Oxford logician receives an anonymous note bearing a circle and the words ""the first of a series."" As the murders begin to pile up and more symbols are revealed, it is up to this unlikely pair to decipher the pattern before the killer strikes again.",https://www.goodreads.com/book/show/301229.The_Oxford_Murders
Horoscopes for the Dead,"Billy Collins, Billy Collins","Poetry, Adult, Nonfiction, American, Book Club, Contemporary, Humor",4.01,"4,530 ratings",516 reviews,"Billy Collins is widely acknowledged as a prominent player at the table of modern American poetry. And in this new collection, Horoscopes for the Dead, the verbal gifts that earned him the title “America’s most popular poet” are on full display. The poems here cover the usual but everlasting themes of love and loss, life and death, youth and aging, solitude and union. With simple diction and effortless turns of phrase, Collins is at once ironic and elegiac, as in the opening lines of the title poem:
 
Every morning since you disappeared for good,
I read about you in the newspaper
along with the box scores, the weather, and all the bad news.
Some days I am reminded that today
will not be a wildly romantic time for you . . .
 
And in this reflection on his own transience:
 
It doesn’t take much to remind me
what a mayfly I am,
what a soap bubble floating over the children’s party.
Standing under the bones of a dinosaur
in a museum does the trick every time
or confronting in a vitrine a rock from the moon.
 
Smart, lyrical, and not afraid to be funny, these new poems extend Collins’s reputation as a poet who occupies a special place in the consciousness of readers of poetry, including the many he has converted to the genre.",https://www.goodreads.com/book/show/9315496-horoscopes-for-the-dead
"Going Clear: Scientology, Hollywood, and the Prison of Belief","Lawrence Wright, Lawrence Wright","Nonfiction, Religion, History, Cults, Audiobook, Book Club, Biography",4.04,"44,842 ratings","4,827 reviews","A clear-sighted revelation, a deep penetration into the world of Scientology by the Pulitzer Prize-winning author of the now-classic study of al-Qaeda's 9/11 attack, the Looming Tower. Based on more than two hundred personal interviews with both current and former Scientologists--both famous and less well known--and years of archival research, Lawrence Wright uses his extraordinary investigative skills to uncover for us the inner workings of the Church of Scientology: its origins in the imagination of science-fiction writer L. Ron Hubbard; its struggles to find acceptance as a legitimate (and legally acknowledged) religion; its vast, secret campaign to infiltrate the U.S. government; and its dramatic efforts to grow and prevail after the death of Hubbard.

At the book's center, two men whom Wright brings vividly to life, showing how they have made Scientology what it is today: The darkly brilliant L. Ron Hubbard--whose restless, expansive mind invented a new religion tailor-made to prosper in the spiritually troubled post-World War II era. And his successor, David Miscavige--tough and driven, with the unenviable task of preserving the church in the face of ongoing scandals and continual legal assaults.

We learn about Scientology's esoteric cosmology; about the auditing process that determines an inductee's state of being; about the Bridge to Total Freedom, through which members gain eternal life. We see the ways in which the church pursues celebrities, such as Tom Cruise and John Travolta, and how young idealists who joined the Sea Org, the church's clergy, whose members often enter as children, signing up with a billion-year contract and working with little pay in poor conditions. We meet men and women ""disconnected"" from friends and family by the church's policy of shunning critical voices. And we discover, through many firsthand stories, the violence that has long permeated the inner sanctum of the church.

In , Wright examines what fundamentally makes a religion a religion, and whether Scientology is, in fact, deserving of the constitutional protections achieved in its victory over the IRS. Employing all his exceptional journalistic skills of observations, understanding, and synthesis, and his ability to shape a story into a compelling narrative, Lawrence Wright has given us an evenhanded yet keenly incisive book that goes far beyond an immediate exposé and uncovers the very essence of what makes Scientology the institution it is.",https://www.goodreads.com/book/show/16142053-going-clear
Odd Interlude,"Dean Koontz, Dean Koontz","Horror, Fiction, Fantasy, Paranormal, Thriller, Mystery, Supernatural",4.12,"10,613 ratings",696 reviews,"There's room at the inn. But you might not get out.

Nestled on a lonely stretch along the Pacific coast, quaint roadside outpost Harmony Corner offers everything a weary traveler needs—a cozy diner, a handy service station, a cluster of motel rooms…and the Harmony family homestead presiding over it all. But when Odd Thomas and company stop to spend the night, they discover that there’s more to this secluded haven than meets the eye—and that between life and death, there is something more frightening than either.",https://www.goodreads.com/book/show/16098976-odd-interlude
Deeply Odd,"Dean Koontz, Dean Koontz","Horror, Fiction, Fantasy, Paranormal, Thriller, Mystery, Supernatural",4.09,"24,094 ratings","1,780 reviews","Following the explosive success of ""Odd Apocalypse,"" here is the gripping new adventure of Odd Thomas, Dean Koontz's most celebrated character.

In a sinister encounter with a rogue truck driver tricked up like a rhinestone cowboy, Odd has a disturbing vision of a shocking multiple homicide that has not yet been committed. Across California, into Nevada, and back again, Odd embarks on a riveting road chase to prevent the tragedy.

Along the way, he meets--and charms--a collection of eccentrics who become his allies in a terrifying battle against a sociopath of singular boldness and cleverness--and a shadowy network of mysterious, like-minded murderers whose chilling resources seem almost supernatural.",https://www.goodreads.com/book/show/15797722-deeply-odd
"Sun and Moon, Ice and Snow","Jessica Day George, Jessica Day George","Fantasy, Young Adult, Fairy Tales, Romance, Retellings, Fiction, Fairy Tale Retellings",3.99,"22,599 ratings","2,181 reviews","""Blessed"" or ""cursed"" with an ability to understand animals, the Lass (as she's known to her family) has always been an oddball. And when an isbjorn (polar bear) seeks her out, and promises that her family will become rich if only the Lass will accompany him to his castle, she doesn't hesitate. But the bear is not what he seems, nor is his castle, which is made of ice and inhabited by a silent staff of servants. Only a grueling journey on the backs of the four winds will reveal the truth: the bear is really a prince who's been enchanted by a troll queen, and the Lass must come up with a way to free him before he's forced to marry a troll princess.",https://www.goodreads.com/book/show/1210754.Sun_and_Moon_Ice_and_Snow
Eon: Dragoneye Reborn,"Alison Goodman, Alison Goodman","Fantasy, Young Adult, Dragons, Magic, Fiction, Young Adult Fantasy, High Fantasy",3.96,"62,725 ratings","4,523 reviews","Also Known As: Two Pearls of Wisdom, Eon: Rise of the Dragoneye, and Eon (All the same book just published with different publishers)

Swordplay, dragon magic--and a hero with a desperate secret

Twelve-year-old Eon has been in training for years. His intensive study of Dragon Magic, based on East Asian astrology, involves two kinds of skills: sword-work and magical aptitude. He and his master hope that he will be chosen as a Dragoneye--an apprentice to one of the twelve energy dragons of good fortune.

But Eon has a dangerous secret. He is actually Eona, a sixteen-year-old girl who has been masquerading as a boy for the chance to become a Dragoneye. Females are forbidden to use Dragon Magic; if anyone discovers she has been hiding in plain sight, her death is assured.

When Eon's secret threatens to come to light, she and her allies are plunged into grave danger and a deadly struggle for the Imperial throne. Eon must find the strength and inner power to battle those who want to take her magic...and her life.",https://www.goodreads.com/book/show/2986865-eon
The Hungry Tide,"Amitav Ghosh, Amitav Ghosh","Fiction, India, Historical Fiction, Indian Literature, Literary Fiction, Contemporary, Novels",3.99,"19,861 ratings","1,738 reviews","Off the easternmost corner of India, in the Bay of Bengal, lies the immense labyrinth of tiny islands known as the Sundarbans, where settlers live in fear of drowning tides and man-eating tigers. Piya Roy, a young American marine biologist of Indian descent, arrives in this lush, treacherous landscape in search of a rare species of river dolphin and enlists the aid of a local fisherman and a translator. Together the three of them launch into the elaborate backwaters, drawn unawares into the powerful political undercurrents of this isolated corner of the world that exact a personal toll as fierce as the tides.",https://www.goodreads.com/book/show/4950.The_Hungry_Tide
