Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Guruji's Ashram,"Sunil Sinha, Sunil Sinha",Thriller,4.23,30 ratings,15 reviews,"Three people died simultaneously in different parts of India, seemingly unrelated but as the investigation progressed the investigators started finding evidences which ultimately not only related these incidents but opened doors to an investigation which was a much larger conspiracy, beyond anyone’s imagination.

Tapas had a good job, a bright future and was about to marry the girl he loved but fate suddenly turned against him. That’s when he met a spiritual Guru who taught him Pranayama, meditation, and the teachings of the Bhagavad Gita. Soon, he started taking classes of Pranayama, meditation and started giving Gita pravachan for a small fee. With this modest beginning, he went on to having the largest ashram in India at Puri, Odisha and many ashrams in various countries around the world.
An MLA, an American and an Ayurvedic doctor, were instrumental in his rise.
Everything was going well for everyone until there was a murder in the ashram.
What was really going on?
Was the ashram really, what it was supposed to be?",https://www.goodreads.com/book/show/25208611-guruji-s-ashram
Brutal,"Uday Satpathy, Uday Satpathy","Thriller, Crime, Fiction",3.81,328 ratings,61 reviews,"""You are in real, real danger."" - A school teacher gets a creepy warning in his mailbox. Seven days later, he murders eleven of his students. Two months later, he is gunned down in broad daylight by an obscure militant outfit. Justice served. The nation pacified. Case closed.

But not for two crime reporters. Seeking redemption through this case are Prakash and Seema, ace journalists but broken individuals. As they follow the story, they are led to the ominous wilds of Bandhavgarh where an eerily similar massacre had occurred eight years ago. Little do they know that they have stirred up a hornet's nest.

One by one their leads start turning up in body bags and they are chased by assassins at every corner. Soon they realize that they are pitted against evil powers pervading the business and political DNA of the country, with an unbelievably sinister agenda. People who are about to let Prakash and Seema know how brutal they can be.",https://www.goodreads.com/book/show/25748573-brutal
Friendship Love And Killer Escapades,"Pankaj Giri, Apoorv Wanikar, Pankaj Giri",N/A,3.54,39 ratings,26 reviews,"Prakash a shy, self-effacing, spiritually-inclined simpleton from Gangtok; Purvesh a cocky, strapping young lad from Mumbai; Richa a sweet, vivacious girl from Bangalore; Anand Kumar a mysterious, enigmatic personality from Jharkhand.

Friendship, Love and Killer Escapades (FLAKE) is a captivating story, primarily revolving around four protagonists pursuing engineering courses in a run-of-the-mill institute in Bangalore. The story encompasses a unique, intriguing, realistic love plot between Purvesh and Richa, numerous escapades, and thrilling adventures. Throughout the four-year roller-coaster, the academic and personal fortunes of the chief personas fluctuates à la the great Indian stock market!
What impact will the inscrutable character, Anand, have in the lives of Prakash and the other protagonists? Will Purvesh and Richa succeed in sustaining their relationship over time? Will Prakash be able to transcend the stage of infatuation and eventually fall in love? What
predicaments will Prakash and friends encounter in the academic journey? Read more to find out. Ready, FLAKE, Go!",https://www.goodreads.com/book/show/25504764-friendship-love-and-killer-escapades
Under the Coconut Tree,"Marissa De Luna, Marissa De Luna",India,3.81,197 ratings,13 reviews,"In the early hours of November 11th the body of Sandeep Shah is discovered, nestled amongst a pile of coconut husks. Detective Arthur Chupplejeep and Police Officer Pankaj are called to investigate. From their experience this should be a straightforward case, but in a small village like Utol, everybody has something to hide.

Suspects soon start coming out of the woodwork. Bala, the pau wallah, has a history with the deceased that he has taken great care to conceal. Then there is Sandeep Shah’s lover and her jealous partner. Even the victim’s family seem to have a good enough motive to kill. To top it all, the telephone number of local moneylender, Sanjog Viraj, is found tucked under the victim’s bed. He looks like a key suspect, but everybody knows Sanjog is more like a Pomfret than a shark.

Detective Chupplejeep and Pankaj have their work cut out, sifting through village life, rumour and gossip to get to the truth. But along with solving the case, Detective Chupplejeep has his own problems. His girlfriend, Christabel, is growing impatient with his failure to put a ring on her finger and with his fortieth birthday fast approaching and a recent black mark against his name from the Inspector General of Police, Chupplejeep is having doubts about his professional competence. His dream of being Goa’s answer to Poirot is far from becoming a reality.

As the mystery of the body deepens, and the pressures at home begin to weigh on the Detective’s mind, will Chupplejeep be able to solve the case and return peace to the sleepy village of Utol once again?",https://www.goodreads.com/book/show/26005776-under-the-coconut-tree
Rivers Run Back,"Joyce Yarrow, Arindam Roy, Joyce Yarrow",N/A,4.27,22 ratings,5 reviews,"Rivers Run Back is a story of many lives spanning different continents, weaving together a fascinating tapestry. Shankar Chatterjee, born in a wealthy Bengali family, Marilyn Benson, an artistic but emotionally unstable girl struggling to find her balance in New York City, and Narsimha Sastry, an outcast born in a small village in India, despised by the grandparents who raise him.
Into this fray are drawn the beautiful sisters, Padma and Leela, whose lives entangle with Narsimha’s until it becomes a question of life and death. It is a story of the Indian Diaspora, the search for the American dream, and finally a story of diverse cultures connected in such a manner that we realise that what finally does matter are universal, humane principles and values.
The book is driven by both mythological and psychological themes that intersect and merge at the end.",https://www.goodreads.com/book/show/24507116-rivers-run-back
In an Antique Land,"Amitav Ghosh, Amitav Ghosh","History, Nonfiction, Travel, India, Egypt, Memoir, Middle East",3.86,"3,529 ratings",353 reviews,"Once upon a time an Indian writer named Amitav Ghosh set out to find an Indian slave, name unknown, who some seven hundred years before had traveled to the Middle East. The journey took him to a small village in Egypt, where medieval customs coexist with twentieth-century desires and discontents. But even as Ghosh sought to re-create the life of his Indian predecessor, he found himself immersed in those of his modern Egyptian neighbors.

Combining shrewd observations with painstaking historical research, Ghosh serves up skeptics and holy men, merchants and sorcerers. Some of these figures are real, some only imagined, but all emerge as vividly as the characters in a great novel. is an inspired work that transcends genres as deftly as it does eras, weaving an entrancing and intoxicating spell.",https://www.goodreads.com/book/show/215678.In_an_Antique_Land
Milk and honey,"Rupi Kaur, Rupi Kaur","Poetry, Nonfiction, Feminism, Contemporary, Adult, Romance, Mental Health",3.96,"791,982 ratings","49,147 reviews","Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.

It is split into four chapters, with each chapter dealing with a different pain. Healing a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them -- because there is sweetness everywhere if you are just willing to look.",https://www.goodreads.com/book/show/23513349-milk-and-honey
Hidden Husband,"Shikha Kaul, Shikha Kaul","Romance, Contemporary",3.67,309 ratings,73 reviews,"Aisha is trapped in her own secret which makes her life hell. Her love for Raghav is true. But hailing from two very different cultures is the basis of their continued friction. Aisha is a Punjabi girl from Gurgaon and Raghav a Bihari from Ranchi. Raghav's family will certainly not accept a girl from outside their community. And yet, he continues giving her false hopes through his efforts and promises. And then they take a step which entangles her life further. Will she manage to come out of this quandary or must she continue to live in her self-created web? Explore her journey that makes her realise the atrocities being committed on women in the Indian society and the tough decisions she must take, keeping her most loved ones oblivious to everything happening in her life.",https://www.goodreads.com/book/show/25832342-hidden-husband
The Legend of Parshu-Raam,"Vineet Aggarwal, Vineet Aggarwal","Mythology, Hinduism, Religion, Indian Literature, Fantasy, India, Fiction",4.22,423 ratings,69 reviews,"He was the guru of Bhishma Pitamah…

An avatar of Vishnu but a disciple of Shiva…

And he shall be the martial guru of Kalki, the last Avatar in this Yuga!

When the Chandravanshi emperor Arjun begins expanding his empire to cover the entire world, the Asuras hit back with an insidious plan. Caught in the crossfire is Raam, the son of rishi Yamdagni and scion of the Bhargava clan.

Will the machinations of Asura, Naga and Urag tribes affect the Brahmin boy and his family? Will the political intrigues of Nabhi-varsh let Bhargava Raam find his destiny or push him towards a future he never envisioned?

This is the story of a man who rose to the level of divinity to establish a fair and just society; the story of the making of a legend.

This book is best understood with 'Viswamitra', the first book by Vineet Aggarwal to establish the context within which it is written.",https://www.goodreads.com/book/show/27871678-the-legend-of-parshu-raam
The Yard,"Aliyyah Eniath, Aliyyah Eniath","Fiction, Islam, Literary Fiction, Indian Literature, Muslims",3.88,78 ratings,33 reviews,"The Namesake meets Wuthering Heights.  The Yard is a story of love and redemption, set in Trinidad, that exposes the fault lines in Indo-Muslim culture. Behrooz, an abandoned boy, is brought to a familial complex, The Yard, to live with a devout and extended family, where he struggles to belong. He forms a childish alliance with Maya, a wilful and rebellious girl, and his guardian's daughter. After they share a night of adolescent tenderness, Maya, fearing retribution, flees to London. Behrooz painstakingly rebuilds his life and marries another. When tragedy strikes, Maya returns to her childhood home. There, she and Behrooz must face up to old demons. Can their love endure? Even after Maya is dealt the most ""righteous"" blow of all?",https://www.goodreads.com/book/show/29930577-the-yard
