Title,Author,Genres,Avg_Rating,Num_Ratings,Num_Reviews,Description,Book_URL
Murder on Family Grounds,"Susan Rowland, Susan Rowland","Mystery, Drama, Mystery Thriller, Suspense, Fiction, Thriller, Novels",4.30,"16,877 ratings",27 reviews,"Who is killing off members of the Falconer family and why? Such is the challenge confronting highly skilled, extraordinarily intuitive Mary Wandwalker when she finds herself single, sixty and jobless. Long ago as an Oxford student with an unplanned pregnancy, Mary knew the Falconers as the family who refused to help when her fiancé, David Falconer died in a car crash. Now the baby boy she gave up for adoption is a policeman, George Jones, and he wants to meet her. Can Mary bring herself to confront her past? She must, for lost in her memory is a clue that could save her son’s life. Back in 1979, Mary wrote to the Falconers and was rejected. Now forty years later, key phrases from her letter appear in the faked suicide note of Perdita Falconer. Neither Perdita nor her killer had access to Mary’s document. Too exact for coincidence, the link is the pseudonym of the drug dealer who supplied her fatal dose. He or she is known as “the Kestrel. ”When Mary was romanced by David Falconer in the 1970s, “the Kestrel” was codename for a Russian spy entertained at Falconer House. Could the resurrection of the nom de plume be connected to Viktor Solokov, the Russian oligarch renting the Falconer estate with his beautiful wife, Anna? For the Falconers have dark secrets, some centuries old. When George Jones’s wife Caroline begs Mary to save her husband from treacherous Anna, and the murderous talons of the Kestrel, Mary must act.",https://www.goodreads.com/book/show/205338104-murder-on-family-grounds
Twenty Years Later,"Charlie Donlea, Charlie Donlea","Thriller, Mystery, Mystery Thriller, Fiction, Book Club, Audiobook, Suspense",4.18,"171,746 ratings","12,692 reviews","Hiding her own dark past in plain sight, a TV reporter is determined to uncover the truth behind a gruesome murder decades after the investigation was abandoned. But TWENTY YEARS LATER, to understand the present, you need to listen to the past…

Avery Mason, host of American Events, knows the subjects that grab a TV audience’s attention. Her latest story—a murder mystery laced with kinky sex, tragedy, and betrayal—is guaranteed to be ratings gold. New DNA technology has allowed the New York medical examiner’s office to make its first successful identification of a 9/11 victim in years. The twist: the victim, Victoria Ford, had been accused of the gruesome murder of her married lover. In a chilling last phone call to her sister, Victoria begged her to prove her innocence.

Emma Kind has waited twenty years to put her sister to rest, but closure won’t be complete until she can clear Victoria’s name. Alone she’s had no luck, but she’s convinced that Avery’s connections and fame will help. Avery, hoping to negotiate a more lucrative network contract, goes into investigative overdrive. Victoria had been having an affair with a successful novelist, found hanging from the balcony of his Catskills mansion. The rope, the bedroom, and the entire crime scene was covered in Victoria’s DNA.

But the twisted puzzle of Victoria’s private life is just the beginning. And what Avery doesn't realize is that there are other players in the game who are interested in Avery’s own secret past—one she has kept hidden from both the network executives and her television audience. A secret she thought was dead and buried . . .",https://www.goodreads.com/book/show/57645345-twenty-years-later
Hidden Pictures,"Jason Rekulak, Jason Rekulak","Horror, Thriller, Mystery, Fiction, Mystery Thriller, Book Club, Audiobook",4.15,"554,746 ratings","57,684 reviews","From Jason Rekulak, Edgar-nominated author of The Impossible Fortress, comes a wildly inventive spin on the classic horror story in Hidden Pictures, a supernatural thriller about a woman working as a nanny for a young boy with strange and disturbing secrets.

Fresh out of rehab, Mallory Quinn takes a job as a babysitter for Ted and Caroline Maxwell. She is to look after their five-year-old son, Teddy.

Mallory immediately loves it. She has her own living space, goes out for nightly runs, and has the stability she craves. And she sincerely bonds with Teddy, a sweet, shy boy who is never without his sketchbook and pencil. His drawings are the usual fare: trees, rabbits, balloons. But one day, he draws something different: a man in a forest, dragging a woman’s lifeless body.

Then, Teddy’s artwork becomes increasingly sinister, and his stick figures quickly evolve into lifelike sketches well beyond the ability of any five-year-old. Mallory begins to wonder if these are glimpses of a long-unsolved murder, perhaps relayed by a supernatural force.

Knowing just how crazy it all sounds, Mallory nevertheless sets out to decipher the images and save Teddy before it’s too late.

A Macmillan Audio production from Flatiron Books",https://www.goodreads.com/book/show/58724923-hidden-pictures
The Elephant Tree,"R.D. Ronald, R.D. Ronald","Thriller, Mystery, Fiction, Crime, Mystery Thriller, Contemporary, Novels",3.90,"39,539 ratings",475 reviews,"Mark Fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. Scott is a dejected 24 year old struggling to make ends meet working for his brother and supplementing his income with a small-scale drug dealing operation. Angela is an attractive 23 year old, raised by her father, a career criminal and small time drug dealer who supplies Scott with cannabis. This is a chilling tale spanning a few months in the lives of Scott and Angela, where realizations about the present combine with shocking revelations from the past leading to an apocalyptic climax where they no longer know whom they can trust.",https://www.goodreads.com/book/show/9293020-the-elephant-tree
The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland, Stieg Larsson","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",4.26,"979,305 ratings","38,966 reviews","The Expose
Millenium publisher Mikael Blomkvist has made his reputation exposing corrupt establishment figures. So when a young journalist approaches him with an investigation into sex trafficking, Blomkvist cannot resist waging war on the powerful figures who control this lucrative industry.

The Murder
When a young couple is found dead in their Stockholm apartment, it's a straightforward job for Inspector Bublanski and his team. The killer left the weapon at the scene - and the fingerprints on the gun point in only one direction.

The Girl Who Played with Fire
Ex-security analyst Lisbeth Salander is wanted for murder. Her history of unpredictable and vengeful behaviour makes her an official danger to society - but no-one can find her. The only way Salander can be reached is by computer. But she can break into almost any network she chooses...",https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
The Girl With the Dragon Tattoo,"Stieg Larsson, Reg Keeland, Stieg Larsson","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Book Club, Suspense",4.17,"3,413,863 ratings","83,064 reviews","Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.

An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.",https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
Those Empty Eyes,"Charlie Donlea, Charlie Donlea","Thriller, Mystery, Mystery Thriller, Fiction, Suspense, Crime, Book Club",4.15,"86,102 ratings","6,788 reviews","Alex Armstrong has changed everything about herself—her name, her appearance, her backstory. She’s no longer the terrified teenager a rapt audience saw on television, emerging in handcuffs from the quiet suburban home the night her family was massacred. That girl, Alexandra Quinlan, nicknamed Empty Eyes by the media, was accused of the killings, fought to clear her name, and later took the stand during her highly publicized defamation lawsuit that captured the attention of the nation.

It’s been ten years since, and Alex hasn’t stopped searching for answers about the night her family was killed, even as she continues to hide her real identity from true crime fanatics and grasping reporters still desperate to locate her. As a legal investigator, she works tirelessly to secure justice for others, too. People like Matthew Claymore, who’s under suspicion in the disappearance of his girlfriend, a student journalist named Laura McAllister.

Laura was about to break a major story about rape and cover-ups on her college campus. Alex believes Matthew is innocent, and unearths stunning revelations about the university’s faculty, fraternity members, and powerful parents willing to do anything to protect their children.

Most shocking of all—as Alex digs into Laura’s disappearance, she realizes there are unexpected connections to the murder of her own family. For as different as the crimes may seem, they each hinge on one sinister truth: no one is quite who they seem to be . . .",https://www.goodreads.com/book/show/62984900-those-empty-eyes
Never Lie,"Freida McFadden, Freida McFadden","Thriller, Mystery, Audiobook, Mystery Thriller, Fiction, Book Club, Suspense",4.08,"1,353,422 ratings","114,154 reviews","Newlyweds Tricia and Ethan are searching for the house of their dreams.

But when they visit the remote manor that once belonged to Dr. Adrienne Hale, a renowned psychiatrist who vanished without a trace four years earlier, a violent winter storm traps them at the estate… with no chance of escape until the blizzard comes to an end.

In search of a book to keep her entertained until the snow abates, Tricia happens upon a secret room. One that contains audio transcripts from every single patient Dr. Hale has ever interviewed. As Tricia listens to the cassette tapes, she learns about the terrifying chain of events leading up to Dr. Hale’s mysterious disappearance.

Tricia plays the tapes one by one, late into the night. With each one, another shocking piece of the puzzle falls into place, and Dr. Adrienne Hale’s web of lies slowly unravels.

And then Tricia reaches the final cassette.

The one that reveals the entire horrifying truth.",https://www.goodreads.com/book/show/62080187-never-lie
Deeper Than the Dead,"Debra Webb, Debra Webb","Mystery, Thriller, Fiction, Mystery Thriller, Crime, Suspense, Thriller Suspense",4.05,"21,763 ratings","1,044 reviews","Someone’s found the skeleton in the closet, and it’s not the only one. Wall Street Journal bestselling author Debra Webb presents an emotional new mystery. Crime analyst and newly disgraced deputy police chief Vera Boyett doesn’t visit home often, and she certainly doesn’t venture back into the cave on her family land. But when the remains of her long-missing stepmother are discovered, Vera will have to face a past that threatens all she is. She and her sister Eve had a fairy-tale childhood: good until it was tragic, with a stepmother they never found a bond with. At least they had each other, a baby half-sister, and a mutual devotion that would have them do the unthinkable. It’s a summer in small-town Tennessee, so thick with humidity it could drown you and so rife with secrets it could smother you. And deep beneath the surface, there are more bodies than you’d think…",https://www.goodreads.com/book/show/198190467-deeper-than-the-dead
None of This Is True,"Lisa Jewell, Lisa Jewell","Thriller, Mystery, Audiobook, Fiction, Book Club, Mystery Thriller, Suspense",4.08,"1,050,476 ratings","106,446 reviews","Celebrating her forty-fifth birthday at her local pub, popular podcaster Alix Summers crosses paths with an unassuming woman called Josie Fair. Josie, it turns out, is also celebrating her forty-fifth birthday. They are, in fact, birthday twins.

A few days later, Alix and Josie bump into each other again, this time outside Alix’s children’s school. Josie has been listening to Alix’s podcasts and thinks she might be an interesting subject for her series. She is, she tells Alix, on the cusp of great changes in her life.

Josie’s life appears to be strange and complicated, and although Alix finds her unsettling, she can’t quite resist the temptation to keep making the podcast. Slowly she starts to realise that Josie has been hiding some very dark secrets, and before she knows it, Josie has inveigled her way into Alix’s life—and into her home.

But, as quickly as she arrived, Josie disappears. Only then does Alix discover that Josie has left a terrible and terrifying legacy in her wake, and that Alix has become the subject of her own true crime podcast, with her life and her family’s lives under mortal threat.

Who is Josie Fair? And what has she done?",https://www.goodreads.com/book/show/62334530-none-of-this-is-true
